Topic,Count,Name,Representation,Representative_Docs
-1,72,-1_bad_taste_person_like,"['bad', 'taste', 'person', 'like', 'things', 'people', 'music', 'movies', 'means', 'clothing']","[""When I say that someone has bad taste, I generally mean that I view negatively the art/music/literature that that person enjoys.  That is, I don't think it conveys any meaning, I don't think that the person who created it has any talent, and I don't see the value in it.  I have to admit that it often means that this is very subjective, in that it often means that I myself don't like the art/music/literature at all myself."", ""Someone has a bad taste in something when they enjoy something I do not; for example I would say someone might have a 'bad taste' in movies if they watch a lot of rom-coms. Someone else could also say that they have a good taste in movies; it is very subjective."", 'The person enjoys something that I think is bad. Like they enjoy a certain movies and they recommend those movies to me. The movies are usually horrible. I would say that person has bad taste. ']"
0,89,0_taste_bad_person_things,"['taste', 'bad', 'person', 'things', 'think', 'people', 'like', 'good', 'means', 'say']","['Someone who has bad taste in my opinion would mean that my opinions of those tastes are bad. To put simply, the tastes that I dislike would make me think a person who likes them has bad taste.', ""Bad taste to me usually means someone prefers things that seem ugly or just not good to me.  People with bad taste usually don't like things that are considered to be in good taste by most people."", 'When I say that someone has bad taste, it means that in my opinion, the things that person likes is very different from the things I like, so, therefore, they have bad taste.']"
1,62,1_like_things_choices_just,"['like', 'things', 'choices', 'just', 'think', 'care', 'people', 'good', 'make', 'maybe']","['I think the things they like may clash.', 'They like things that are outside the bounds of acceptability or like things that are just plain dumb.', 'They like something I don’t like.']"
