k,reconstruction_error
2,14.441868423440258
3,14.304488693208064
4,14.171962419317916
5,14.046189673382514
6,13.933720310865507
7,13.82246692304517
8,13.711510957834731
9,13.606302235180001
10,13.516322556479318
