Topic,Count,Name,Representation,Representative_Docs
-1,36,-1_good_taste_person_usually,"['good', 'taste', 'person', 'usually', 'think', 'means', 'just', 'things', 'similar', 'music']",
0,95,0_things_like_art_appreciate,"['things', 'like', 'art', 'appreciate', 'good', 'choices', 'pleasing', 'taste', 'shows', 'work']",
1,88,1_taste_good_say_like,"['taste', 'good', 'say', 'like', 'person', 'think', 'means', 'mean', 'things', 'people']",
2,41,2_good_taste_person_think,"['good', 'taste', 'person', 'think', 'things', 'people', 'sense', 'usually', 'culture', 'quality']",
3,18,3_means_like_good_knows,"['means', 'like', 'good', 'knows', 'choices', 'interact', 'services', 'people', 'style', 'things']",
