k,reconstruction_error
2,14.475508996868548
3,14.347205387103132
4,14.225571543313997
5,14.119337077245067
6,14.014066949688115
7,13.912153635444149
8,13.805127299118803
9,13.693220911573064
10,13.60778805958904
