Topic,Count,Name,Representation,Representative_Docs
-1,130,-1_good_taste_like_person,"['good', 'taste', 'like', 'person', 'think', 'things', 'art', 'means', 'people', 'look']","['Taste that they like and stand by. Good taste is a taste that someone is confident in or taste that is good for them. I think taste depends on each person. Someone who has good taste in music is my sister who will listen to it, regardless of who thinks it is good or not.', ""For me I think good taste in anything is just from my own perspective of what I consider is good. If I like a certain kind of music for example and you happen to like the same thing, I would say you have good taste in music.  I think my friend has really good taste in fashion, I like his sense of style. I could wear what they wear and look good in them as well. I don't have to wear everything they wear, but either way I still think they have good taste."", 'Someone that has generally liked opinion on certain topics, usually something that aligns with my taste because I like to think my taste is good taste.  They have good taste and they like things that most and I like so they have good taste. My friend, she has taste that aligns with mine and she likes wearing really cool clothes.']"
0,58,0_taste_good_person_things,"['taste', 'good', 'person', 'things', 'think', 'like', 'music', 'say', 'people', 'food']","['When I say that someone has good taste, it means that in my opinion, the things that person likes is similar to what I like, so, therefore, they have good taste. I think my closest friend has good taste because she likes the same things I do, dresses the same way I do, and decorates her home with the same artistic style that I like.', 'If someone has a good taste, then they like things that many people view are ""good"". It\'s a very subjective thing to have a ""good taste"", I think it depends on how you grew up. In certain areas, it\'d be luxury things or elegant things that are defined as good taste. In other parts, it could just be like something that isn\'t as ""Trendy"" as what most people like. I\'d also say that people with ""good taste"", tend to think on their own and don\'t follow what others like. Myself, and as conceited as it sounds, I truly believe I have good taste compared to most people. I say myself because I really have a an amazingly broad spectrum of things I like compared to most people. Even if there\'s something I dislike, I can find a way to appreciate it, I break down everything into deeper parts and go over it, so I really know what my taste is and why it\'s that way. I can relate to everyone, while being so different from everyone, and I think ""good taste"" features a wide variety of unrelated things you\'d like.', 'Personally, someone who has good taste means that the taste they have aligns with my knowledge of what a good taste is. To put simply, what I judge to be good taste is good taste to me. I think majority of my close friends have good taste, but especially my best friend. This is because we like the same things, therefore her taste is very similar to my taste.']"
1,36,1_good_taste_things_like,"['good', 'taste', 'things', 'like', 'choices', 'look', 'think', 'colors', 'pleasing', 'home']","[""I think that they make good, stylish choices based on the type of aesthetic that I myself appreciate. They also think in creative ways that complement their choices as a whole. My best friend has very good taste, he really puts a lot of effort into making sure that things fit together in an appropriate way and cater to his strengths and weaknesses appropriately. He also does a lot of research online to see other people's tastes and tries to incorporate those things into his own stylistic choices."", ""This is kind of subjective.  What some people think is good taste other people think is poor taste. To me, good taste is something that is classic. People of all ages will generally like it, though they might not know why. It is quiet and solid, not bold and attention seeking. It does not embarrass people to look at it. If it is furniture, it is comfortable and sturdy. If it is an action, it is polite and respective, no matter what was said or done to them. My preacher's wife has good taste. Her home is decorated with simple, solid furniture, and she has a china cupboard that has family china inside. She dresses simply, and she is happy and interested in everyone she meets."", 'If someone can think about good clothing and latest fashion then we say he or she has a good taste.  My wife is having good taste, she get good clothes for me and for my family. We all are really like her good taste.']"
