Topic,Count,Name,Representation,Representative_Docs
-1,111,-1_art_music_look_likes,"['art', 'music', 'look', 'likes', 'similar', 'friend', 'shows', 'appreciate', 'clothes', 'style']","[""What I mean by that is they have a taste similar to mine or one I can appreciate. People who enjoy the same type of books or movies or art.  Though I can understand someone may have exceptional taste and I don't agree with it.  Such as enjoying Rothko's art or Wharton's novels.   This person is one of my besties.  She and I like craft beer, for example.  Bad taste would be Bud.  We love trying new foods.  Bad taste would be a Burger World.  We love unusual art.  We once went to an art show in San Francisco, in the middle of the dump, and everything was created with found materials.  Okay, not sure if I'm doing this right."", ""For me I think good taste in anything is just from my own perspective of what I consider is good. If I like a certain kind of music for example and you happen to like the same thing, I would say you have good taste in music.  I think my friend has really good taste in fashion, I like his sense of style. I could wear what they wear and look good in them as well. I don't have to wear everything they wear, but either way I still think they have good taste."", 'Taste is about preference, therefore it is entirely subjective, even if the preference is based on objective qualities. I believe that nearly everyone believes they have ""good taste,"" so when most people say ""good taste,"" they mean that the taste in question is similar to their own.  Right now I can only think of my son. Of all the people I can recall, he is the only one with a taste similar to mine. Since I believe I have ""good taste"" I raised my son to enjoy the same types of movies and books that I enjoy. Of course, I didn\'t force it upon him, and at first, he found many of the movies boring, but gradually, over time he began to appreciate the type of art I enjoy.']"
0,75,0_say_art_mean_food,"['say', 'art', 'mean', 'food', 'music', 'way', 'friend', 'enjoy', 'usually', 'similar']","[""When I say that someone has good taste, I generally mean that I can see value and positive qualities in the art/music/literature that they like, even if I don't enjoy it myself.  However I must admit that much of the time, when I say that someone has good taste, it means that they share my taste, i.e. they admire the art/music/literature that I myself enjoy. I have a friend who has excellent taste.  Her home is beautifully furnished, with many lovely pieces of furniture and decorative pieces that I admire.  Her clothes are really distinctive but not outlandish and I love the colors and styles she buys.  She is a musician and I always enjoy hearing the songs she plays on the piano for me.  She has recommended several books to me that I have really enjoyed."", ""When I say they have good taste, it usually means that they tends to appreciate subtle details in the object. For example, a person that have a good taste in fashion would dress in a way that elevate their body features and while the fabric/pattern/fit might be eccentric and different then, it would still go together.  I think my best friend has good taste in art and food. They pay close attention to the subtle details that the artists put into their work and can appreciate the level of depth and details that the artist had. Also in food, while fine dining is not in itself good taste, I think my friend can appreciate unique flavor combinations that most people just hate while they haven't tried them first."", ""Someone has a good taste in something when they're perceived to like something similar to myself. We see 'good taste' in a certain subject as something that we also enjoy. For example, I would say someone has a good taste in food if I perceive that they like similar foods to me. Having a good taste is subjective and aligns closely with my values. I would say my close friends/roommates have a good taste in much of my daily activities (entertainment, eating), since we have a lot of similarities in that regard. Our interests align, so I would define them as having a good taste.""]"
1,38,1_choices_look_pleasing_clothes,"['choices', 'look', 'pleasing', 'clothes', 'home', 'fashion', 'colors', 'style', 'appealing', 'make']","['Whether we speak of choices in home decor, clothing, entertainments, and so on, good taste to me means judgment that is thought through and individual, not a response to what is merely popular with the majority, or faddish in the moment.  It does not seek to bring attention to itself in a self-promoting way; it is quieter and more humble, more restrained, not ego-driven. I have a neighbor who puts together her household in a beautiful way, not expensively, but with care as to how the furnishings and colors blend with each other.  She puts a lot of thought into the harmony of it.  She is also a caring person, who is kind and considerate with others, seems to know the right thing to say to bring them out and make their day brighter', ""Their choices of what is appealing coincided with my own preferences. For instance, they chose colors that I didn't consider jarring or decor that wasn't overwhelming for the space or gaudy. My sister has good taste. She can walk into any room of any house and arrange the furniture and decor so that it is pleasing to the eye and feels appropriate. She has a natural ability to choose from the things available and arrange them so that if feels like they belong in the room naturally. She also can take one or two small objects or pieces of art and make the room feel balanced."", ""That their preference of music, art, clothing, movies, etc. is appealing, interesting, fun, exciting, likeable, good to look at or enjoy, or just appealing in every way. I'd have to pick one of my best friends because she wears beautiful fashionable clothes, has picked a gorgeous home & car, is successful, and just looks & acts classy & good most of the time. Her choices in many things is tasteful.""]"
