original_index,0,1,2
0,0.120557557371481,0.609268226203681,0.24178259377854808
1,0.14233170695494643,0.4673647995457064,0.2906201523659651
2,0.13589369467166224,0.1844698010185125,0.32422904526748303
4,0.444242530716377,0.13710921449768937,0.22894858318722855
5,0.0866536182102328,0.1661869838542163,0.642944345305547
6,0.11491313049929106,0.5331512180919553,0.22258698497182144
7,6.515997461708634e-309,1.0681280646984893e-308,1.0
8,0.14122189836282711,0.2881980372095206,0.22144308083450365
9,6.65613525141328e-309,1.064188848343019e-308,1.0
10,7.950742608365947e-309,8.744466837557275e-309,1.0
11,0.13552960127496655,0.2547156872226051,0.5013980826573187
12,0.15585687711045682,0.30767775747925685,0.38326277205544046
13,0.09541948818098278,0.4164408135460209,0.2918830456947183
14,0.1653729327245171,0.38090583847305703,0.4247593822693772
15,6.21303808139524e-309,1.047251297891777e-308,1.0
16,0.03167534104358865,0.9045301513100026,0.050510855449299855
17,6.33953862104725e-309,1.0906209577237497e-308,1.0
18,0.5495058889571492,0.08796510628603296,0.1213998900106621
19,0.13949285269423395,0.2159015993166582,0.37330432529666074
20,0.13931229853719876,0.3683128214646915,0.27352634164547385
21,0.10607524318653035,0.393100330572349,0.2896684072694185
22,5.108981061147313e-309,1.0,9.546294964136156e-309
24,0.36722320192463226,0.15949125904896905,0.28358586742769365
25,0.0933961700950993,0.5193975183108352,0.25355527385168064
26,0.11991048954530287,0.23188612332593292,0.16158840691621792
27,0.13882438459665233,0.2540355293355459,0.3383071177988071
29,5.46110323424174e-309,1.0,9.09488440128319e-309
30,1.0,5.086826688010746e-309,6.97162387232083e-309
32,5.06760315611847e-309,1.0,8.776678151135252e-309
34,0.2991128598882569,0.15561676678445666,0.33387037270709735
36,0.16439164531862024,0.30738877162522205,0.41238803848837846
37,5.341660957801057e-309,1.0,1.02417080235914e-308
38,0.23973555074496994,0.15430604438012455,0.3147283580187321
39,0.14871053830972758,0.17852372762322957,0.3338561220387355
40,0.14522922303794158,0.37768063250775213,0.29669291033013095
41,5.27987271659929e-309,1.0,1.0727278600859904e-308
42,0.4283721039030272,0.10832641873563567,0.17715553848949853
43,5.34338882410306e-309,1.0,9.324668143762276e-309
44,0.11216082945995211,0.26713413853400225,0.5177571972795196
45,0.07627883151579627,0.6161642669877492,0.1412216481254819
46,0.12568986892247314,0.44221671863065115,0.26035064152017506
47,0.5026068622357532,0.09415662612213867,0.1456541280499182
48,0.09567885841993316,0.26212305811900716,0.4048803113382466
49,0.1263115230558165,0.24385132033682155,0.17281978118493083
50,0.13309860092592707,0.29210299826010444,0.20046577360602763
52,0.15998360959716781,0.491029015743192,0.3205957520133503
53,6.357107190205696e-309,1.09097745197081e-308,1.0
54,6.676118009806966e-309,9.42963502203168e-309,1.0
55,0.3819220521337998,0.13811383747112616,0.29026443879636904
56,7.157907223669443e-309,1.1554889408717826e-308,1.0
57,6.44196292386108e-309,1.0551598296812367e-308,1.0
58,0.2698554771609506,0.19618145650127636,0.2705563620975558
59,0.15005124870706776,0.3098128733579924,0.2802626313749405
60,7.308691478250143e-309,1.0941971168783324e-308,1.0
61,1.0,4.61760845668839e-309,6.72193552573256e-309
62,5.41521885618298e-309,1.0,1.043104629895861e-308
63,0.15593962700670225,0.2932960440489546,0.4718114725457364
64,0.3355425327053559,0.12545254651636484,0.28337164967011075
65,0.09777717459054497,0.08859572020195579,0.6928489444471299
66,0.1073748798723013,0.16926214106266055,0.4961166474408234
67,0.7559570992958244,0.06108990265545641,0.09100808830748232
68,0.4051174209323091,0.1181535725733745,0.14814710474415885
69,6.029851061766095e-309,1.0693707742011943e-308,1.0
70,0.09666530163315815,0.24385727231262144,0.43823265902846587
71,0.3067171870219845,0.1568176440515061,0.2627176553181371
72,0.6243045286311149,0.0705293452754312,0.11546645449474885
73,0.1032329520605588,0.6889180568702994,0.19065217987618005
74,0.06823193623715643,0.7831065410531618,0.1388193314912527
75,1.0,4.69357794018031e-309,6.778208733478335e-309
76,0.1537781651074514,0.27436692961741044,0.3682214396894881
78,0.6332121560085275,0.11158596207939017,0.1427984035788946
79,0.15577838417382825,0.20339476339871637,0.4095521477989272
81,0.15702260429193785,0.5054876091390653,0.3090981639227069
82,0.15653504603788776,0.18845772805259273,0.4260444608866368
83,0.34594098101965387,0.16496290012705747,0.29939644725458364
84,0.0899531073032878,0.5465174498268568,0.21193701405974225
85,0.31491967623744876,0.14123883994290984,0.2637940806945649
86,0.14656633694314136,0.21410117809263624,0.3903450884664432
87,0.1721069936796876,0.18192594415761132,0.34969475787734144
88,0.13104878485113103,0.4464752612665935,0.27874921137216757
89,0.22448446595345264,0.1699871898139513,0.17895131210472798
90,0.37927773468483544,0.1200310249607586,0.25824299253628885
91,6.80305537738007e-309,9.164673776543265e-309,1.0
92,1.0,4.66768021165717e-309,6.75658694968174e-309
93,1.0,4.861636678212744e-309,6.608496450044283e-309
