original_index,0,1,2,3,4,5,6,7,8
0,0.03279146251585519,0.021256309955425337,0.019066895047686626,0.03634192870832141,0.01829285497059497,0.039110135120315886,0.05955583737426895,0.036855493246844645,0.026505119678125088
1,5.32941138187721e-308,1.6596662861772795e-308,1.6217699932392687e-308,3.1519053903466435e-308,1.5341443396779208e-308,2.38412564481121e-308,1.0,2.247774013611491e-308,2.4063702580821912e-308
2,0.3158914200613248,0.058729901098382845,0.08584845569817481,0.11706650966996533,0.07505218043043711,0.05771611971982252,0.09907235465154851,0.05277530542605885,0.08833885096029824
4,0.03740799562202665,0.04957492120632088,0.04900863977483763,0.11320485008786182,0.03288100974690233,0.054557176035992534,0.03532789048583669,0.05696726296498792,0.05791083465291328
5,0.0597202306024682,0.18110067588606207,0.17733088079645806,0.07059955734007116,0.07500624471007167,0.04929558843419663,0.04676593238941944,0.060887763228941315,0.055876874706173106
6,0.11943815216856678,0.04674820776832005,0.05922258334508371,0.1650362130366924,0.046521926392499316,0.08293848337574695,0.09163797538946439,0.05365082787694711,0.18024969324629114
7,0.04208197642460332,0.4416918974769948,0.06661005748588851,0.058930344536864986,0.04302283525132069,0.04553884901039452,0.041185212721813795,0.07319295683883055,0.04457510513867788
8,0.03504461972364483,0.034925210226592486,0.06004908254518824,0.03857354574565211,0.6631108314656404,0.028984863623590526,0.027257194153565725,0.027983258965950577,0.03059410235347336
9,0.2211346803409728,0.0631564399886717,0.07890596763376129,0.11251608918283748,0.05932783456117332,0.05367024948823401,0.09039875661991263,0.05270742303060778,0.07934944394465734
10,0.08730413175396576,0.0584513736085987,0.06175122383529584,0.23623941257457312,0.04546776520997722,0.11701289237233835,0.08536069624694519,0.08686891304940877,0.1433050241325746
11,1.0,1.6516478312782906e-308,2.0151199957809305e-308,3.6775231163896115e-308,1.8718221342674554e-308,1.9874408543534203e-308,5.330981174897225e-308,1.77398859526306e-308,2.788299031416288e-308
12,0.07795668162458065,0.035372784619932575,0.031589046557685976,0.06002966291355145,0.03017849568449006,0.05259606788152066,0.562668571939581,0.05633195669582576,0.044414619325550186
13,0.08104131292737776,0.04352514227960995,0.037211120033271004,0.06823116378963545,0.03563638996847636,0.06349372034798124,0.3402661394253624,0.07277949349055218,0.05051737478263867
14,0.18004251649767847,0.06348036528000439,0.06323850567496701,0.09413642023631447,0.056096791769833745,0.05838903146400395,0.14068007399697777,0.060419281815898916,0.07031084424491142
15,1.0,1.7607424266514156e-308,2.1448560020823487e-308,2.9509999081516854e-308,1.93310319181075e-308,1.640313180006834e-308,3.184798218680809e-308,1.583581537065767e-308,2.316487788922308e-308
16,0.09230570449735336,0.044892043433041755,0.051823063284915726,0.15088165181440244,0.043921222893173385,0.1338270890313325,0.0842240601923258,0.06368038534070769,0.1336149993717913
17,0.029305901599800437,0.07873608856540751,0.036073878639057505,0.03525686952186994,0.02489054994878497,0.024037565218428366,0.027640238500876213,0.035268477428574495,0.026222617047494616
18,0.053012580903863675,0.2978890185301735,0.09977079876032051,0.07413066082573999,0.06457715512208088,0.060778175494484804,0.049135140179112385,0.08608187857301652,0.058239938166063154
19,0.17791770240352242,0.06445639974377074,0.06528163190836665,0.08993962476925138,0.05697656605693651,0.055448386539606605,0.11917223086877772,0.05786129561483345,0.0679670368067747
20,0.046036720130122555,0.051538154539141214,0.03755699572095953,0.07077459475006986,0.03260450359021896,0.09885090470782373,0.05817019800886861,0.3758385444533941,0.053045038303477766
21,0.06450829824966686,0.07761762323813728,0.05196400602023425,0.08767625117656154,0.04451544633539679,0.08169198461575382,0.08525441090706753,0.21681079466863423,0.061717414958738816
22,0.41902504296038884,0.03684617531068361,0.044883610171362776,0.09578155496196339,0.0415314460103107,0.05079284460984743,0.13777159169653638,0.04124391483819054,0.07268341301090707
24,0.09103742491050817,0.03611848382084532,0.039395447736239764,0.0759135926448504,0.039536020463564546,0.05163039096524307,0.08917072924985182,0.04259179592677764,0.05123440359418366
25,1.0,1.5944612031492517e-308,1.9258536687976804e-308,2.723312073169396e-308,1.7069972734443564e-308,1.641163583067353e-308,3.410631976208509e-308,1.5029121031653163e-308,2.4460972809150713e-308
26,3.141379717567948e-308,1.8047418449999006e-308,2.24293417373261e-308,5.521673217349892e-308,1.5999740777556907e-308,3.5881935373176065e-308,2.6278037981311043e-308,2.1388845437172627e-308,1.0
27,0.06875236196707876,0.05502316782306568,0.04041258802082421,0.06976172732735919,0.0373974918313085,0.06644068769490329,0.11304267918075804,0.11633801669292204,0.05008611467161517
29,0.045265924889885324,0.09926113650637862,0.05313263843319557,0.06519339266895535,0.046091885835637544,0.06559906836581689,0.05132796170449737,0.15227281412104915,0.04814183110223117
30,1.0,1.587236754367856e-308,1.842821641257631e-308,2.937098216074236e-308,1.689898258361209e-308,1.762693151313787e-308,4.577015402282399e-308,1.649025025179715e-308,2.440210546092975e-308
