0,1,2
0.768082682955884,0.03705167198999632,0.05315277642248033
0.5284743481174915,0.096090619199904,0.16494105646147647
0.175053342677489,0.3224018148340616,0.22209291896526637
0.16002448440797598,0.46660703656945435,0.15335405410985503
0.45590575493596897,0.12483482360273354,0.2735947123461244
0.13805587452480078,0.45170328627104617,0.1434437926199172
0.17435805648630748,0.10417272329327983,0.12204775399235795
0.7583953426596763,0.06206993808720283,0.10638945424201256
0.4870470565791005,0.07898519520552014,0.1312706140065528
1.0,3.93040956370821e-309,5.87313885650398e-309
0.3268640194522715,0.1619158640072679,0.2048617265266888
0.5111357963828451,0.06442699943015193,0.0885445438141208
1.0,3.83364922150976e-309,6.375470489293557e-309
0.9133659731379777,0.028969819819019197,0.04444815824664997
6.48098402524624e-309,4.612458073841513e-309,1.0
0.06669072995097754,0.748419794566727,0.06230886643699819
0.06175333833332321,0.8196336747133172,0.06700695404490103
0.22567230669630978,0.23482200944877812,0.1671706578754601
0.04963533519597194,0.6894192492024876,0.05095003706023221
0.24282485028245812,0.10697046059727752,0.13832547894081657
1.0,3.57442195726389e-309,5.886253780054507e-309
0.06497772887103692,0.8585868239975922,0.07301831107368138
0.8025436584095337,0.05341297516621449,0.08850214507217162
5.986140815276836e-309,4.37358104013742e-309,1.0
5.90036909464698e-309,4.669654826190173e-309,1.0
4.280999174920313e-309,1.0,4.25336537979406e-309
0.7453417792306709,0.048908237155537576,0.0774674375670333
0.06758080711579567,0.6743855132134272,0.07700398540437942
0.28317706151976935,0.1407058184365739,0.28340408802110667
1.0,3.848761686756524e-309,6.27687570685019e-309
1.0,4.298348973521563e-309,6.409406364550865e-309
0.7265130972273953,0.058875760772821195,0.08612573495272345
0.17104863902167008,0.22465093711818285,0.22655990206461832
0.5690653051975078,0.08233070340622137,0.18804951711565837
4.074019749762946e-309,1.0,4.61409132580604e-309
0.09827076364938113,0.7401727638206494,0.10053735061845283
0.7623296972051311,0.05167492780162326,0.07624103612705416
0.5833447764053789,0.07972409957864394,0.15593163035327717
0.20825245695762326,0.18251096521333884,0.21347009803490713
0.6711362360547208,0.06538466931737583,0.09405534660143461
0.8571310436672234,0.038204507012349884,0.055179871342526575
0.44875843805246574,0.09617140832323026,0.12319204912742651
0.5814411762407239,0.07244331332447095,0.14431655998528092
0.12547388637840717,0.1273999751894473,0.23928132747733558
7.19610213506117e-309,4.546857437010266e-309,1.0
0.3085310933778594,0.14749123851866466,0.2153713408659465
7.206040421193836e-309,4.491730876558817e-309,1.0
0.8672901111815925,0.04520054925748723,0.08227722728981138
0.8702270078557004,0.042559044021468206,0.0667377988665188
1.0,3.87197402081779e-309,6.001129537568997e-309
0.3535376325054644,0.14923356184821296,0.29643168753990656
0.28606062823634415,0.11518904629544843,0.27444898717606653
0.3289952945213002,0.13584947869324737,0.1790209952981629
0.13053264472411305,0.5995216621847168,0.13490572024186684
0.2051761676521069,0.078181699560517,0.3515272020315599
4.009048276238486e-309,1.0,4.225853268849193e-309
1.0,3.73386757504693e-309,5.664117247699514e-309
0.08369438967226867,0.8163222469621311,0.08050087793647248
0.15456502634311808,0.2650210816543897,0.20472803885806026
0.047176503856761885,0.7793979528075767,0.05525609196659808
0.15388596283388623,0.1417362763788264,0.15844486512537384
4.080587146265804e-309,1.0,4.265487138790503e-309
0.05608414421813471,0.7313511298224246,0.06648165911413079
0.03734613627987193,0.9012486823800595,0.04396064251300788
0.5218966571033143,0.0613955110633641,0.08477845783093343
0.1798294685052373,0.28357082486979096,0.22019897064624083
0.14272936853086074,0.43885967251207514,0.15107615292121762
0.7695888840294379,0.07172975641725601,0.1251702843690687
0.0686147692467467,0.8197052991228905,0.06550224523341043
0.1490840741735672,0.4117254582769322,0.15532402018224842
0.6709976280949485,0.056800921592260634,0.08576319518316156
0.8525111560800788,0.05688301418223572,0.08151643362740132
0.5955862126776297,0.07002590536198933,0.09546145481446702
0.08570299368041606,0.6425699802406808,0.08547124311358348
0.15655020419354337,0.4452171151327996,0.179960041882715
4.125105779632187e-309,1.0,4.75418592533703e-309
0.3463160040509196,0.15886389163805947,0.18846171429724923
0.34234632593235165,0.14069417103992632,0.24886582177776756
0.12754341657321044,0.479541429837244,0.14116714218022638
0.33437406857039803,0.11080380768535625,0.31453848756290714
0.36342178568529715,0.1438705575757694,0.34670763553588035
0.07903016483684855,0.6604048938433967,0.07933564433760955
0.18327022383349229,0.10603573276687223,0.12692253422522742
0.7559608625294355,0.05469501556732927,0.0958902394971723
0.7466379893505332,0.056384861526737426,0.10585816744642168
0.15045647961685357,0.34319126114355686,0.13375846283745238
0.16999626056824582,0.19461423864750027,0.1896347739818205
0.30886633318071033,0.1821150770903517,0.20266019971516622
1.0,3.63837020889554e-309,5.48911449696735e-309
0.6906526895809058,0.07636415001176187,0.1025470281912863
0.6444818927441658,0.09206270944995772,0.17252306743582385
0.21459983544795724,0.10809623941591294,0.32542912859028256
0.6584246297655179,0.06763164429098278,0.11501919426343515
0.2663001903043832,0.20870359938636385,0.19903881868642306
0.02960456673545284,0.919288116215782,0.02966058927029108
5.87627659461208e-309,4.576383694949343e-309,1.0
0.31025726935709813,0.17572248562450105,0.20766185500462908
0.4921089771725754,0.06805826646669347,0.09203704157857533
0.5510334685292896,0.07608219521600622,0.1265880650281986
1.0,4.119846625078923e-309,6.293210328327337e-309
0.1549842505555549,0.25304112363297654,0.125956444594979
6.68807677586431e-309,4.528984553912194e-309,1.0
0.2394010565510796,0.10926684147056177,0.30896192570856373
0.3922937409433987,0.12274883422379158,0.2178324578325825
0.09955174793446775,0.5358808821780935,0.08753588584195533
0.20578300449859638,0.20103699919826706,0.26001919413674074
0.26137416495852256,0.11435142522246622,0.1683131027359895
4.26831285561474e-309,1.0,4.570104046735777e-309
0.2943965962697787,0.17071048481104734,0.19329533235142246
4.219709534036004e-309,1.0,4.333560673356145e-309
4.30511078609356e-309,1.0,4.842071224276723e-309
1.0,3.66320377073328e-309,6.02794154003037e-309
0.399124222950895,0.12695643924458033,0.20788195996406034
1.0,3.954024576203237e-309,5.515108118383424e-309
6.25547154491352e-309,4.770863481352364e-309,1.0
0.18766263077941203,0.10368811656212407,0.128315064719261
0.5886900684413497,0.0792649719248162,0.11051105406700017
0.09430760708220368,0.06531748416975172,0.7762112691738815
0.14895777756435571,0.4374501412159933,0.140847030038106
0.13980755505311465,0.4211253975141947,0.13619062438059507
0.14220799827087538,0.47168157866295896,0.15524750722791425
0.1549820656719411,0.10446682665681517,0.11633441096076054
5.63540474202796e-309,4.340380868442664e-309,1.0
0.08130065231892976,0.8098596570981902,0.0787749935609624
0.09049955642280577,0.6484530250077001,0.09660057774103298
0.7314958020826929,0.05814107702587497,0.08281974109339625
0.5737578503214713,0.05714416310761587,0.08416914902399891
0.0564650705664039,0.6836160974599116,0.06405883477876576
0.12221582705824412,0.14858576478652064,0.18719316276262624
0.8021017064265701,0.048496217321158525,0.07640715762284593
0.22015193447733789,0.11017338236588706,0.13946251145094837
