original_index,0,1,2,3,4,5,6,7
0,0.039267824181315136,0.051028773962887686,0.045164646221162404,0.029790537118900347,0.034996879624150566,0.0620308835243218,0.038138267045893105,0.04267315353939503
1,0.4385137500339849,0.0683319141978765,0.05184717702599852,0.05422279910304504,0.06975252752880229,0.08043369658600807,0.08106939763230522,0.07045437136555534
2,1.0,1.847863806675173e-308,1.321648974971158e-308,1.3835992240292126e-308,1.8140766229756014e-308,1.9270396644361624e-308,2.2025218164831e-308,1.8937620534207522e-308
4,0.05752394333492631,0.038471325253695364,0.09502610817248199,0.06138207224911562,0.046960052227318846,0.05807547956922403,0.17348429394266848,0.1255971423967388
5,0.09902869017530971,0.06925030387045965,0.09348052340911438,0.062428885405665914,0.06346712025706878,0.11096557931063926,0.11893569265298061,0.12330562371398808
6,0.07470796411922254,0.07314328064640935,0.10586039282669289,0.06446561832300972,0.07019416112336443,0.17729809346612943,0.08674061196321257,0.08381929637010328
7,0.0878935210971651,0.06479826809292685,0.10505283460985196,0.0663314303159263,0.06427616190194568,0.1119133238638641,0.12417781388290876,0.11641906503063784
8,1.7187452710263256e-308,1.0,1.375735044953746e-308,1.2049621055732327e-308,2.0662523385175975e-308,2.5846181762661357e-308,1.2523782104325513e-308,1.2857986985654864e-308
9,0.06575075500315886,0.10853872148527784,0.06410017780755096,0.05345746343718867,0.09890782142585876,0.4763568707966492,0.054381471890162666,0.0516239134123638
10,0.0793836932401688,0.07971866024948591,0.06136951293566384,0.04878733065841743,0.07717257127294201,0.19724747359087658,0.06597519872703998,0.06277193216294966
11,0.16382814783644484,0.06744539175364397,0.05493205701036093,0.05652145861883963,0.07284393862877792,0.09211785072647576,0.07607670819286083,0.06705935789889247
12,0.7234114365471628,0.030523390005421754,0.029406778120000376,0.031750437922209926,0.033615860927897916,0.03583815251559454,0.06278296007558297,0.04615707935420665
