original_index,0,1,2,3,4,5,6,7
0,0.05332034018267902,0.0855059256558295,0.03385848964380495,0.10053532473129856,0.052340891033055045,0.04784623203946038,0.06662299423352973,0.0754899629380497
1,1.0,1.046744965418643e-308,1.0259614958261094e-308,2.123831116181651e-308,2.3090946267529626e-308,1.7755855162943064e-308,1.45236519518808e-308,1.3222951454012207e-308
2,0.1864024827530065,0.042421736101890546,0.05016075438765013,0.08371263401969051,0.17512657868936507,0.06668538712156412,0.08026449604494593,0.05976822847203707
4,0.032586190988331896,0.05953690091625367,0.040602121065115696,0.053000967687053376,0.05010687869219199,0.02811901188839853,0.6189991164970884,0.05693578733585271
5,0.0620829300484859,0.18645216467852407,0.05635858727431337,0.09878738118706207,0.08656825872270697,0.06693149141684364,0.14046774590541355,0.094326507781939
6,0.09123600012762514,0.026391727424499453,0.03734612913054172,0.04736759386280554,0.5838197109619976,0.0415271138140338,0.05183858801935298,0.037709542988110134
7,0.057727356356092115,0.2399062055672726,0.061407125450853424,0.09128643939381575,0.08312360195600424,0.05858017386933799,0.1779045905298379,0.0906871674241549
8,1.9426681847471996e-308,1.07694892348479e-308,1.011316437889935e-308,1.3231363124497417e-308,1.749722363113056e-308,1.0,1.248969220562794e-308,1.493577342775518e-308
9,1.0,9.89202044847599e-309,1.225750709126326e-308,1.7269186448770645e-308,3.483123658701532e-308,2.0565592965689196e-308,1.556570994966126e-308,1.339283885103977e-308
10,0.2175905120391051,0.04509655879677686,0.05198121217080779,0.1344821729881807,0.10216852037092743,0.06261548891325597,0.07217443741778225,0.07368163428979474
11,0.3710402306743481,0.057952941950161214,0.05640901390831229,0.1523014662643333,0.11984546727459319,0.08547860874686833,0.08056607485191275,0.07640619632947085
12,2.505523916555164e-308,1.7117836195046427e-308,1.3936088507430913e-308,1.0,2.0484514064896918e-308,1.3758286545612407e-308,2.5153319386780536e-308,2.5079330844822307e-308
13,1.0,1.052817138414579e-308,1.002815425528212e-308,2.0051953091878517e-308,2.270505427471024e-308,1.8041766923797535e-308,1.4475829978958943e-308,1.301034377233958e-308
14,0.5089852054153795,0.044540687456263946,0.047732518948915434,0.10462106282315664,0.0999196548212322,0.07145312080932403,0.06252967629873421,0.06021807342699418
15,0.575181167664714,0.04006273883947448,0.03999742772561608,0.08497992817538541,0.08477210012023366,0.07038446590841943,0.053217182714264274,0.05140498885189258
16,0.04240034776076318,0.033934271481581395,0.4357134682581239,0.049317924719193884,0.07335802273086968,0.03658887135126704,0.07139027389087395,0.07718438672817833
17,0.06106899104535794,0.4486939078813033,0.05650713730847244,0.1001621494915734,0.06929819963615838,0.06279190675826711,0.10698127154481062,0.09449643633405666
