original_index,0,1,2,3,4,5,6,7,8,9
0,0.03697094736006825,0.03407888374689122,0.03498909467562951,0.034306500997125275,0.06265038651599641,0.02959959635560387,0.08487726859756034,0.034477067137279625,0.3833169213963078,0.0364157681742432
1,0.03461177501640319,0.05920864494621306,0.05653172426463114,0.03445590254114708,0.0624203203709885,0.041829484643523034,0.04259954911762802,0.041814437578121554,0.054576806420176656,0.04754690916642868
2,0.03402115927358173,0.04096331716845714,0.4171980354804536,0.02701084416400645,0.07233026149848855,0.08505011374266543,0.03075219587349742,0.06569401157492934,0.04425889991761184,0.09770155025039319
4,0.062056224311188395,0.10632221423240724,0.03405345519507557,0.032653782838056936,0.03248888264135403,0.03906379694802446,0.04150455011686479,0.05520634317955946,0.0362826142381567,0.04186771573912704
5,0.05190812002700528,0.0560802761809734,0.1585212435394056,0.03301862433225934,0.0646857445746385,0.2431717768594631,0.03732616072521776,0.09278558537724983,0.048310789943059124,0.11929672658426735
6,0.48786804604246703,0.06325605339273797,0.04347198290812078,0.03390381449529357,0.04349898384536557,0.053385117795871705,0.049332465771973054,0.07949988981211403,0.04863725002228584,0.0632858802607217
7,0.2091913925635686,0.0659729421934187,0.055872580364852154,0.0393663184643742,0.0590049656801966,0.06525610137168916,0.061420524943876,0.09839960704486772,0.06647769856907908,0.08548824391441605
8,1.9358871506354093e-308,2.10707612756249e-308,1.549961341945351e-308,3.615647260481581e-308,2.267518310823198e-308,1.3900641115487763e-308,1.0,1.5641750761434216e-308,5.619261089141868e-308,1.506346113713514e-308
9,0.03137487674232049,0.03059990280382757,0.04572307889998737,0.02197993143747854,0.07634947907092765,0.03529244534579662,0.03410899672394803,0.03616330385804592,0.05548395816081185,0.043117747257375036
10,0.09121721205287434,0.05543273574454042,0.07029852973016719,0.030372473620708194,0.054402091924575256,0.10352223840864283,0.042088594400895296,0.3176834092270934,0.05037610213898498,0.15886470079300163
11,1.5646685473579024e-308,1.776174691880681e-308,3.1708548380350086e-308,1.533877343439234e-308,1.0,1.997183162550592e-308,2.2099374640909494e-308,2.079070336668172e-308,5.185023239296842e-308,2.5811552274912873e-308
12,2.126199235980921e-308,2.0524850778733453e-308,2.2794003376329446e-308,2.0341424553349637e-308,4.520230882702149e-308,1.853100354382936e-308,4.400129195311193e-308,2.1310205116479537e-308,1.0,2.318292658777562e-308
13,0.6999874745548568,0.03970261043925786,0.02846594766811539,0.021204888807304343,0.026991941667060308,0.037352528206068665,0.028652580200246094,0.0485734185301556,0.028413704586968513,0.040654905339966615
14,0.03547668893960279,0.0386369675744149,0.07885329204192296,0.03056189226081826,0.5187210307064147,0.04762714494971535,0.04339327035611634,0.04848516915656101,0.09008333943700536,0.06319217449142568
15,0.024597529933480987,0.027957749776107065,0.6135606994016541,0.020080987077016995,0.06212291274113205,0.057123550736137556,0.023077832914117524,0.04535449114351893,0.03431345191513983,0.06711407379832245
16,2.3584173477776026e-308,1.0,1.816212991498811e-308,2.090202243883107e-308,1.753790183911901e-308,1.9120909703736314e-308,2.12727002838732e-308,2.107796580449387e-308,2.0139067628965695e-308,1.8649996359961186e-308
17,0.08125758901317347,0.08217722390129788,0.09903905371451255,0.038767634218729585,0.059252710723674544,0.21196290310111005,0.04454368886112271,0.15052655032946785,0.05146542780402199,0.12530457472484915
