original_index,0,1,2
0,0.18333081030928397,0.27081583516729774,0.1158057507499382
1,0.6731667223696387,0.08621338706314532,0.10104946399438848
2,0.5660218051578921,0.11570007981493761,0.1567157035017665
4,0.15902660513935352,0.24148525846530075,0.1867883496064012
5,0.16303374620877173,0.4087105023258227,0.12827828051504372
6,0.39639982965888904,0.15000421923304155,0.29203353958266587
7,0.14106680961748316,0.38613182916493627,0.13528592547600093
8,0.14015224825327383,0.11585102425786532,0.0937369867892173
9,0.7621611790609458,0.06917414675729132,0.09527061820607514
10,0.5748562634406725,0.1242465171925865,0.13938042432074138
11,1.0,4.875159426621164e-309,5.36243311327913e-309
12,0.35419775763876077,0.21002702290986114,0.17862374893849065
13,0.4941759753008961,0.08432872811523776,0.09768738338882649
14,1.0,4.797694886227854e-309,5.51646430162739e-309
15,1.0,4.32563597105788e-309,4.970802176385436e-309
16,5.580980347120793e-309,4.680069192346797e-309,1.0
17,0.0712641063463503,0.7493346212417461,0.06175472725019519
18,0.07102356659943083,0.7684116881655733,0.0667514082618587
19,0.17179719891524076,0.28083358273087317,0.11089289019713452
20,0.0625040693942956,0.7054252520019351,0.05708911842580508
21,0.1700327690624971,0.12264124887311201,0.10774733432359157
22,1.0,4.25811124310633e-309,5.90366804994257e-309
24,0.0854856663412669,0.82301789754524,0.08252663383892009
25,0.6952948457438706,0.08703051810472225,0.1107096889627322
26,5.721027880600066e-309,4.391354584557115e-309,1.0
27,5.45970106846312e-309,4.39257866018325e-309,1.0
29,4.828226107948264e-309,1.0,4.261415187403304e-309
30,0.6642659060348681,0.08046691075234945,0.10270438227579959
32,0.09457973438451273,0.5989504359839837,0.10034697234426983
34,0.2944498576448421,0.16252803249672657,0.3056235617290558
36,1.0,4.619880071667556e-309,5.089696032236565e-309
37,1.0,5.09566048253597e-309,5.318893482480294e-309
38,0.7582957887569398,0.08054750755089744,0.09534961761358764
39,0.13461460860792954,0.1577630642821105,0.21336200981086773
40,0.4983825647138758,0.08641367295992301,0.15438531762540625
41,0.067241014658808,0.830846300790565,0.0678040704524038
42,0.10239418241510832,0.785534580943317,0.0914518052216857
43,0.7294280896517503,0.08503088269296223,0.09839125699656776
44,0.5716255072028531,0.09987294392899097,0.1505450932042137
45,0.19389866547883416,0.16301189535254385,0.19101060479299106
46,0.7302517426749842,0.07184754668160837,0.07418225623373197
47,0.7277558761707896,0.07997435027686453,0.0916998104112454
48,0.4506897369283998,0.13099192135656149,0.11286111169439289
49,0.5225009903553111,0.10360802810199042,0.13689245423833304
50,0.1014344013498805,0.1570721736764461,0.14201581951295217
52,6.1518024406591e-309,4.526496970220546e-309,1.0
53,0.29957872761886556,0.1493511282665645,0.158572887962815
54,5.994078676569134e-309,4.59015769647871e-309,1.0
55,0.7854944415353332,0.08516017075202836,0.1149992947437562
56,0.6991998199550165,0.09313041746323354,0.11928215388606905
57,0.8525043768306846,0.0556880686750021,0.06450186886320024
58,0.3318648834926197,0.1806185035158022,0.31006769511038135
59,0.35472652606854344,0.16868015376945344,0.31503090863659955
60,0.39604248932843183,0.17636731425783417,0.16030869846930276
61,0.14624310217273487,0.5179188176850104,0.13482612997757296
62,0.22201835064541345,0.09381812412749388,0.2917322916029411
63,4.56419247800892e-309,1.0,4.339119011905864e-309
