Topic,Count,Name,Representation,Representative_Docs
-1,49,-1_taste_good_like_things,"['taste', 'good', 'like', 'things', 'people', 'think', 'lady', 'believe', 'art', 'similar']","['The first person that comes to mind is a famous actress I really like. Although I obviously don’t know her personally, I think the movies and things she has been throughout her career reflects good taste; as in, it feels like she chooses her projects very intentionally (although a little infrequently), and never haphazardly. Because of that, I believe her filmography is amazing and filled with great roles.', ""Yes. They always have a strong sense of aesthetic concepts and utilizes layering of different elements  in order to create a unique sense of taste. Their taste is different from everyone else's but has a lot in common with experienced artists and craftspeople. They do not tend to like popular things, but rather what appeals to them personally. Other people usually like their aesthetic choices."", ""Yes, I know several people who I think have great taste. My grandmothers come to mind, they were ladies to the T but also real women who exuded grace under extreme pressure, made it look so easy to manage home and hearth, raise several children successfully, I mean nobody wants to be the parent of a Jeffrey Dahmer right? The matriarchs of my family instilled in me the belief that I could be anything I wanted and how to be a lady while achieving my goals. I never heard a swear word from either of them, they didn't gossip, run the streets, stir up trouble or have their business aired around town. They were very much the type of women who were gracious, humble, grateful, intelligent, witty and just had this quality about them that is the essence of great taste.""]"
0,59,0_person_good_taste_things,"['person', 'good', 'taste', 'things', 'art', 'way', 'people', 'like', 'obama', 'think']","[""Really anyone who puts time into wanting to create something that speaks to and is generally perceived as 'good' by members of a specific audience. Taste is largely subjective, but also dependent upon the audience. So whereas one audience might perceive a MAGA hat as cheap and distasteful, another audience might look at it as extremely tasteful. If we're looking for a specific person here, I would say that Steve Jobs had good taste. He was able to create things that appealed to a lot of people such that they would use them, find them convenient, and pay money for them. I would call that tasteful in addition to successful."", 'Myself, and as conceited as it sounds, I truly believe I have good taste compared to most people. I say myself because I really have a an amazingly broad spectrum of things I like compared to most people. Even if there\'s something I dislike, I can find a way to appreciate it, I break down everything into deeper parts and go over it, so I really know what my taste is and why it\'s that way. I can relate to everyone, while being so different from everyone, and I think ""good taste"" features a wide variety of unrelated things you\'d like.', ""I think someone in then know who has been around with experience tends to have good taste. It is always depends a lot on a person character. What someone see as good taste, someone else won't. A person who goes out of their way to impress usually has good taste.""]"
1,31,1_clothes_good_taste_look,"['clothes', 'good', 'taste', 'look', 'friend', 'wears', 'wear', 'person', 'fashion', 'dress']","['I think my cousin has good taste. He buys and wears expensive clothes and they look very good on him. It makes him look like a model.', 'A friend of mine has very good taste in clothes. They wear things that fit their body and style, and they look great.', 'This person has good taste because they can dress in style all the time.  Their clothes match and fits nicely.  Their shoes and watch are a good complement to their clothes.']"
2,24,2_friend_taste_good_best,"['friend', 'taste', 'good', 'best', 'things', 'think', 'lot', 'friends', 'close', 'home']","['I think my best friend has good taste because we share the same interests and like the same things.', ""I think my best friend has good taste in art and food. They pay close attention to the subtle details that the artists put into their work and can appreciate the level of depth and details that the artist had. Also in food, while fine dining is not in itself good taste, I think my friend can appreciate unique flavor combinations that most people just hate while they haven't tried them first."", 'I think majority of my close friends have good taste, but especially my best friend. This is because we like the same things, therefore her taste is very similar to my taste.']"
3,23,3_house_home_pieces_furniture,"['house', 'home', 'pieces', 'furniture', 'room', 'taste', 'good', 'dresses', 'decorated', 'eye']","[""I think my friend Krystal has good taste, because she decorates her house simply yet with pretty pieces that she's been handed down or she's gotten from small independent places.  She doesn't just go to Hobby Lobby and get the decor that the rest of us have."", 'I have a friend who has excellent taste.  Her home is beautifully furnished, with many lovely pieces of furniture and decorative pieces that I admire.  Her clothes are really distinctive but not outlandish and I love the colors and styles she buys.  She is a musician and I always enjoy hearing the songs she plays on the piano for me.  She has recommended several books to me that I have really enjoyed.', 'My sister has good taste. She can walk into any room of any house and arrange the furniture and decor so that it is pleasing to the eye and feels appropriate. She has a natural ability to choose from the things available and arrange them so that if feels like they belong in the room naturally. She also can take one or two small objects or pieces of art and make the room feel balanced.']"
4,16,4_music_good_taste_think,"['music', 'good', 'taste', 'think', 'consider', 'person', 'slayer', 'regardless', 'bands', 'opinion']","['Tom has good taste in music because he listens to everything he can.  He also studies music and is a musicians himself.', ""A friend of mine who doesn't like listening to metal music but who understands the value in it. He also understands the difficulty in performing and how there is a type of music for everyone. This is an example where I would completely disagree with their opinion, but that doesn't necessarily mean they have bad taste. They also enjoy other forms of music that I also enjoy."", 'I think they have good taste because they think ahead of time and research about products before they buy them. Another person who I think has good taste in music, enjoys similar music to me and dislikes some of the same.']"
5,12,5_wife_good_taste_girlfriend,"['wife', 'good', 'taste', 'girlfriend', 'husband', 'thinks', 'value', 'new', 'quality', 'enjoy']","[""My wife has good taste because she usually orders food that isn't low quality and junk."", 'My wife is having good taste, she get good clothes for me and for my family. We all are really like her good taste.', 'My wife, Gilda, has good taste. She always takes into account what lies beneath the surface. She can see quality and inherent value of things before most people do.']"
6,10,6_movies_shows_father_tv,"['movies', 'shows', 'father', 'tv', 'likes', 'news', 'watching', 'finding', 'good', 'think']","['My Father has good taste. He enjoys doing activities that challenge him, he enjoys reading the newspaper and watching TV news. He listens to classical music and loves watching documentaries.', 'I think my father fits this description. He generally likes quality tv shows, movies and animation. He likes good music and is not afraid to expand and watch/listen to new genres.', 'I think my grandmother has good taste in shows. She watches reliable news outlets. She also watches murder mysteries and some police drama shows, as well as movies about historical events. She doesn’t watch Ancient Aliens, Finding Bigfoot, or anything else conspiracy or cryptid based.']"
