original_index,0,1,2,3,4,5,6
0,0.03178101943108415,0.0805019100837506,0.05062125486036689,0.2942592781099736,0.06458126613495689,0.07143409150799465,0.0411975054754091
1,9.811546142345785e-309,2.427642895461095e-308,1.7553513960202794e-308,1.0,2.6825857344646817e-308,1.717581431658229e-308,1.3866375495792923e-308
2,1.834555630797045e-308,1.096315813123607e-308,2.3090615181979376e-308,1.456183761791743e-308,2.107225417187225e-308,1.029768658014236e-308,1.0
4,0.8017856642255955,0.027190841389942145,0.038120932968330516,0.027671225419498884,0.028985069374470623,0.030799748064213265,0.045446518557949005
5,0.048796306044708235,0.07666568840622488,0.20778901205457756,0.07537804765027728,0.08363853389144706,0.04681149907221023,0.066876296159759
6,0.05305067282704902,0.10543887620184805,0.07249443742692019,0.12932701085276774,0.07590866115905458,0.1296644982889655,0.05841497412447258
7,1.31987698132424e-308,1.805759475606126e-308,1.0,1.841370701492351e-308,2.656844012159511e-308,1.165596718394327e-308,2.0364061455070195e-308
8,0.035871881045532066,0.04961613712113169,0.0346224673055988,0.05566109201985108,0.03751843804680441,0.19013238878201258,0.032975438610098474
9,1.4281401879032486e-308,1.686092620691455e-308,1.0,1.7595011704125576e-308,2.4574979228992194e-308,1.1511831770430475e-308,2.4135370921822655e-308
10,0.09160177432413792,0.07274693915896657,0.3653223902386543,0.07355966944164682,0.0952181770030387,0.05711390661876326,0.12356924481366344
11,0.041220813645798084,0.0580194960205333,0.13177112495142457,0.08008563998718599,0.3299417379160142,0.041371173272239485,0.07353617805199085
12,1.1079631757417807e-308,1.645486392855633e-308,2.649113637389579e-308,2.6780491233658573e-308,1.0,1.2411021248171617e-308,1.957237639692284e-308
13,0.02696945239177755,0.08878677806504191,0.06670146881186789,0.053866364118261664,0.047044177777103666,0.03627686204934128,0.03219554024629523
14,0.03695896314076506,0.0557408643418947,0.08036225186917335,0.1089960794674343,0.3111343314191782,0.04304653960544677,0.06688687532503483
15,0.04841506356169937,0.05165630499642598,0.6287845600483115,0.054624632961109074,0.08012118526352684,0.037071554619500395,0.08485754191271756
16,0.023147072821857417,0.768059586341597,0.03798939511111048,0.04413581637083142,0.03229274462793369,0.04364967926855029,0.02404022943375336
17,0.04489670616372583,0.057844040993732304,0.5914168455388428,0.057391757238084214,0.08395381681618988,0.03835093782849485,0.06784747671793398
18,0.3737174995915964,0.08259968009702787,0.08969286298865278,0.07371877262221388,0.07043351040516178,0.09266793027144644,0.09438346545961725
19,0.04486502710099468,0.031031346676283177,0.07201316542088929,0.04172497156371336,0.06039183205583062,0.02768823549670051,0.36781526037279677
20,0.04409023121783695,0.06736205474606008,0.062248501080727055,0.07249910335845837,0.06254152102681745,0.06868954408060331,0.04788449363266059
21,0.039237218350971596,0.0996383806527491,0.10296853624343187,0.1021309078316524,0.11759141134002613,0.05740263693582097,0.05308360419596327
22,9.824661556194793e-309,1.0,1.826290311421094e-308,2.6231950291996523e-308,1.6697972149376014e-308,1.9135186943355605e-308,1.139637267015707e-308
24,1.0,9.497072815103534e-309,1.3662537911445363e-308,1.015417135433663e-308,1.0934070740251705e-308,1.1286631595035334e-308,1.72529772783717e-308
25,0.05352487025996963,0.23552587961764818,0.11293425499529909,0.18638476226231868,0.10384872754854999,0.08481101685495215,0.07240789904002637
26,1.025335016671634e-308,1.839054123692315e-308,1.0244027917119853e-308,1.7893877861657416e-308,1.0943181324539644e-308,1.0,9.57503728059132e-309
27,1.0540659307751414e-308,1.4854493212105463e-308,2.392070647129192e-308,2.312318590633241e-308,1.0,1.148564336082367e-308,1.792771660055744e-308
29,9.75951198718565e-309,1.0,1.558371623647981e-308,2.1553053833753015e-308,1.408689921269104e-308,2.1238860637289935e-308,1.041173244169862e-308
30,1.0,8.88867988198354e-309,9.956529092803665e-309,7.779403486445023e-309,7.45469227384921e-309,8.92650074843693e-309,1.01164140947642e-308
32,0.04016707289828187,0.2893708723357055,0.07512923261144692,0.10830207195816807,0.0748006795832639,0.08094191030497762,0.04585199103058936
34,1.0,9.50695328082811e-309,1.479288429290593e-308,1.0453663223388577e-308,1.1520303169333636e-308,1.089293901169117e-308,2.078564074084143e-308
36,1.165011824374085e-308,1.512100320247532e-308,2.576063841694539e-308,2.374062869823357e-308,1.0,1.209795377440162e-308,2.1188255761902823e-308
37,0.054446255481970705,0.3267788117249603,0.1090227418516408,0.15898926946908618,0.11030195769769456,0.10356718346379934,0.06619416791277068
38,0.5675635040303079,0.041549852955888554,0.0688245622951319,0.046541495566780486,0.05304828106916461,0.046619067018154735,0.10839159152036065
39,2.017297990290319e-308,1.0207887397861366e-308,2.0162005887587395e-308,1.313342172275425e-308,1.7801757709523144e-308,9.965105357056605e-309,1.0
40,0.05289776091526738,0.09011187745623865,0.08839728786194594,0.15845102144471568,0.15199239011987511,0.08579423838174961,0.06930256084597394
41,0.04148730975652363,0.5817088540477681,0.07623245786139819,0.08947342475601784,0.0639648778276561,0.07407203558605108,0.04637556414021863
42,0.5830486217218382,0.05420813791521227,0.07568174037183627,0.05362548048170411,0.05672181912595115,0.05953605380135797,0.08294096269889034
