original_index,0,1,2
0,0.5009160205353391,0.14223251038005455,0.175525540268289
1,1.0,6.238014897287254e-309,7.663239289787773e-309
2,0.7749135535951144,0.10038080871388862,0.12470563769099707
4,0.5438662924705214,0.19192319523064938,0.14705972637691728
5,0.44359717053507425,0.21792217079986,0.2186305168165313
6,0.4950630438713115,0.2468002263661795,0.25813672976250895
7,0.49800075425857077,0.23767620674050421,0.22662559584903796
8,0.44415575806433094,0.1629078435054179,0.28148120670131493
9,0.8074711552203866,0.06494365804468678,0.12758518673492666
10,0.49967652098468013,0.13427497796691779,0.2049772597651441
11,0.5683376656896982,0.14501288977957594,0.18277654417137024
12,1.0,6.56439563302835e-309,7.01223922333491e-309
13,0.5134639081299215,0.18599043445464367,0.2425239461679653
14,0.618365735780119,0.13924794539334395,0.18132013870747982
15,0.8056644240686501,0.08421813546366902,0.11011744046768085
16,0.21590689713189318,0.5313131535041141,0.17006129041597348
17,1.0,6.449295913341577e-309,5.93088475138319e-309
18,0.5144782963341031,0.15763692212706898,0.113371319554087
19,0.5575223416770526,0.14027104823708444,0.15066266738903805
20,1.0,6.95203921270757e-309,6.040488298158177e-309
21,0.6246916129929511,0.13677256610476018,0.23853582090228867
22,1.0,6.29941035738801e-309,1.168141173275778e-308
24,0.8146920259467588,0.06982155478338299,0.052907228632475406
25,0.6718964753927391,0.13321986942184333,0.19488365518541742
26,9.991362828322524e-309,1.0,1.1155906563201297e-308
27,0.8447373239657952,0.07533319386340169,0.07992948217080321
29,1.0,7.50869155659941e-309,6.164141305408058e-309
30,0.5197988935892175,0.1654437302400887,0.21489253551802026
32,0.46471315490144754,0.20654622108558798,0.16323704050153573
34,0.5201557529451241,0.1889486339111738,0.18573292789918294
36,1.0,5.728554705921496e-309,9.714910660826403e-309
37,0.5463318388076821,0.16105034502469023,0.21847536353946514
38,0.6312374852824677,0.15067870398561478,0.20988064962653488
39,0.43486472912822766,0.15444724366133158,0.22064066232631935
40,0.5454578804752631,0.17650197958012234,0.27804013994461446
41,1.0,8.173120952890095e-309,6.838915819067224e-309
42,0.4087617941770763,0.21563536141379325,0.23277513495679442
43,0.7455145881775881,0.08945477977017692,0.16503063205223498
44,0.7639108785693794,0.1067253061077159,0.12936381532290467
45,0.26728873523587676,0.2568800891269195,0.3052024018782201
46,0.7160462043752623,0.1040133510743123,0.17994044455042543
47,0.5318739759598037,0.157797152145239,0.21718378653054865
48,0.43773204596136417,0.20779061482740754,0.2072798078913931
49,0.9351285134974742,0.024371704753894205,0.04049978174863174
50,0.23913633446193086,0.40386222830157953,0.18615297183184148
52,9.005124101608596e-309,1.0,1.2137393390508677e-308
53,1.0,6.0766377516066e-309,7.806412309065056e-309
54,0.33587479382271845,0.23551383781646457,0.3731717963932409
55,1.0,5.60125579261666e-309,9.386184764333057e-309
56,1.175783731820421e-308,1.0226507405778303e-308,1.0
57,0.5175321112087767,0.156152297551283,0.2029717357552881
58,0.4889302483970857,0.20925038362603465,0.21705091533718648
59,0.4746780235551283,0.23443778511414445,0.29088419133072724
60,1.0,5.819790991691256e-309,7.508851395332626e-309
61,0.5715969843925854,0.14680332123005088,0.14738852816648318
62,0.3822074286480316,0.21941316464200417,0.35983819234723774
63,0.8492216572383156,0.0737512703468186,0.07702707241486575
64,0.6696830352857749,0.141969565554568,0.1883473991596571
65,0.777621227625629,0.07104007138182214,0.06771712239507066
66,0.3592599777561923,0.17812741677794355,0.21808998990632966
67,1.0,9.04899621724144e-309,6.809256941028834e-309
68,0.48002714010111286,0.2117490805271594,0.1632186810056943
69,1.0,6.812618997436485e-309,5.975762123528436e-309
70,0.5026045128104613,0.20698998104275265,0.1665805478936576
71,1.0,9.40331786340126e-309,7.135008421684763e-309
72,0.5881499696159058,0.145935699855371,0.21475588787024244
73,1.023954285128802e-308,1.1790565639736194e-308,1.0
74,0.32884358892062726,0.24788304450976217,0.2484119141813532
75,1.0,5.5862890220749e-309,9.89932310533366e-309
76,0.8877627829781979,0.05742500542860153,0.05128024385709153
78,0.8955785291429801,0.05114622600309999,0.045781819409676155
79,0.7206666644364625,0.10612586864424652,0.16274434729315426
81,0.664223091913582,0.13044726866140463,0.20532963942501348
82,0.5315945351129332,0.21862060498805513,0.24978485989901167
83,1.0,8.1699129046331e-309,7.01749526485657e-309
84,0.6938438910956009,0.15472606365731903,0.15143004524708012
85,0.8348745804566,0.09513608569423916,0.06998933384916076
86,1.0,6.517895984517783e-309,7.354880832024656e-309
87,0.5289246686472653,0.15809501573815582,0.23481041293050062
88,0.46345448937176537,0.20525188357936472,0.22564035841301963
89,0.4672363602819854,0.19812158018861256,0.33464205952940196
90,1.0,1.012768503741411e-308,7.72994983237875e-309
91,0.4709940227847533,0.14881045299717324,0.1810423715746459
92,0.444894115742465,0.16337405026198135,0.28155886186505114
93,1.0,6.13375529923383e-309,1.042515425784184e-308
94,0.5070342868426706,0.19985283113962307,0.29311288201770636
95,1.0,8.72355058729179e-309,7.642602786890253e-309
96,0.27850188691797856,0.23491204590708703,0.26564534265795553
97,0.695221194241566,0.12799629968333184,0.17678250607510215
98,0.5100346354122347,0.16615465976352942,0.22186117012993345
99,0.46137961684929435,0.17693311005059245,0.21230907703484472
100,0.7512131847594515,0.09380743811584327,0.1549793771247053
101,0.7347766370307407,0.13477691206362813,0.09981763590853891
102,1.0,5.66123757571829e-309,9.57715050320782e-309
103,0.738856596329465,0.11382124812940723,0.12158469734722446
104,0.667357540588524,0.12839751919594958,0.09766690858076361
105,8.787658125904203e-309,1.0,1.091929105715465e-308
106,0.43736238971700425,0.21733918140872927,0.18641838662374227
107,0.7129624348099588,0.10465970118553336,0.09760941136481475
108,0.3559620620450537,0.17368411674578976,0.3852700978200597
109,0.7974213809088736,0.07253767438079321,0.13004094471033317
110,0.37094168856149484,0.1916655106032684,0.21271411446782912
112,0.14059298757082503,0.35397523442508183,0.1992371819517729
113,1.0,1.018748067757578e-308,8.208901281644446e-309
114,0.5066101770601154,0.2296017262781115,0.2637880966617733
115,0.5374294500571919,0.17228148791324027,0.16550961224564184
116,0.5716068536760518,0.196026926229575,0.22486450447593284
117,0.7034219615795505,0.10789693211272623,0.18868110630772317
119,0.8373227963478502,0.06699174008395035,0.06014067238892731
120,0.6461842629904969,0.11774602588026864,0.15688912732304164
121,0.40466783720596944,0.19214773173049252,0.19610958757893998
122,1.0516691353951065e-308,1.067678200222465e-308,1.0
123,1.0,6.23521623135148e-309,9.64729201965519e-309
124,0.303140141840698,0.24053826283026936,0.36052276873247796
125,0.3864878863810145,0.20816991044203276,0.22204429209111115
126,0.2261754002239312,0.3889457185612503,0.18422557235766174
127,0.5711773294325091,0.15586801016691432,0.2729546604005765
128,0.7326421689953619,0.0963992459833554,0.17095858502128267
129,0.2559142294872232,0.3191977750085103,0.14942762039803453
130,0.7662634382652933,0.11324962207499867,0.09057610655856212
131,0.5956028971526717,0.1764736095907774,0.16756968323731844
132,1.0,6.459113138192814e-309,6.78624202795659e-309
133,0.3702749793208598,0.15164808429841597,0.2545810757127649
134,9.089428365399777e-309,1.0,1.206467968189616e-308
135,0.7593783202366741,0.10451024617609325,0.10056664240796064
136,0.7856583225511787,0.10451231652296383,0.09975525466860315
137,0.6373294219832542,0.15323470163977515,0.20943587637697067
138,0.7482383131125834,0.09801131930619698,0.1537503675812197
139,1.0,6.04900994106025e-309,6.709651255503406e-309
140,0.654537570515139,0.15214236071194956,0.19332006877291155
141,0.7474088915020397,0.09340649457234004,0.1591846139256202
142,0.3431124174482144,0.1463828189488034,0.25609496682236016
143,1.0,9.41455574109469e-309,7.010307311826717e-309
144,0.5167299318516723,0.22570802201334958,0.2575620461349782
145,0.24442904473541888,0.2680180756914765,0.2999824433095955
146,1.0,6.992644789326105e-309,6.146759306276846e-309
147,0.5464498016029208,0.1654095439393906,0.2881406544576886
148,0.08686729569140425,0.1372041329816559,0.7131555450770491
149,0.6830253233868061,0.11496054108796282,0.1270074546879562
150,0.8785275107578243,0.06431197978222879,0.05716050945994689
151,0.8044046726319554,0.07055090651937507,0.12504442084866965
152,1.1895122591348015e-308,9.678533910089236e-309,1.0
153,1.0,7.24688222452663e-309,6.471829377125556e-309
154,0.6778431347962687,0.11194005176319152,0.17271289544812177
155,8.674591471959143e-309,1.0,1.109406195368578e-308
156,0.7637079877891783,0.10516014808835553,0.1311318641224661
157,0.8187764540252682,0.08088886565604636,0.10033468031868555
158,1.0,5.86140075553738e-309,1.0753413311509635e-308
159,0.7552751651244279,0.1373415422810959,0.10738329259447613
160,0.2879961717752106,0.22432248982945474,0.2443709059037708
161,0.5248054573192462,0.15268255361168473,0.19219229337625213
163,0.4742012673944859,0.2068104293273157,0.3189883032781983
164,0.493364735542361,0.20343884153483013,0.16448973036987766
165,0.3845015306502877,0.24447119503180595,0.27248115562427666
166,0.5691105338232433,0.19114388722938652,0.2397455789473704
168,0.48368693123074336,0.1701135627332876,0.346199506035969
169,1.320159408414515e-308,9.98640512301412e-309,1.0
170,0.8809937550763093,0.057790398289328346,0.06121584663436242
171,0.5477762675029799,0.1796778750442166,0.17779676403478978
172,0.5285307971130608,0.169898804461038,0.2954979951132345
173,1.0,5.85156621516248e-309,6.811086999248426e-309
174,0.5537799122047647,0.15878078480804728,0.28743930298718795
176,0.7110714468667643,0.11259481583668077,0.0908342824305859
177,0.825421901026266,0.09264213070311916,0.0819359682706149
178,9.09939853746161e-309,1.0,1.1814318418133387e-308
179,8.4499000857248e-309,1.0,1.109427810094495e-308
180,0.431986741942631,0.17264003289617472,0.23718809938963312
181,0.5119810330003091,0.1438173081296905,0.1777153428507999
182,0.2401436379514235,0.4794834180256767,0.17204244665310978
183,0.8219652864517877,0.09884214733622554,0.07919256621198675
184,1.0,6.492657825106267e-309,1.274729860314413e-308
185,0.631138164553317,0.13464600230003118,0.2342158331466518
186,0.736890264260638,0.0987765272239871,0.08591672231718404
187,1.0,8.478171388248464e-309,6.4428328681791e-309
