Topic,Count,Name,Representation,Representative_Docs
-1,42,-1_good_taste_person_art,"['good', 'taste', 'person', 'art', 'fashion', 'like', 'similar', 'appreciate', 'think', 'things']","['If someone can think about good clothing and latest fashion then we say he or she has a good taste.', 'When I say they have good taste, it usually means that they tends to appreciate subtle details in the object. For example, a person that have a good taste in fashion would dress in a way that elevate their body features and while the fabric/pattern/fit might be eccentric and different then, it would still go together.', 'When someone has good taste, in my opinion, their interests in art are similar to my own, or what I consider good.']"
0,102,0_taste_good_like_person,"['taste', 'good', 'like', 'person', 'think', 'things', 'people', 'say', 'mean', 'means']","['If someone has a good taste, then they like things that many people view are ""good"". It\'s a very subjective thing to have a ""good taste"", I think it depends on how you grew up. In certain areas, it\'d be luxury things or elegant things that are defined as good taste. In other parts, it could just be like something that isn\'t as ""Trendy"" as what most people like. I\'d also say that people with ""good taste"", tend to think on their own and don\'t follow what others like.', 'Someone that has generally liked opinion on certain topics, usually something that aligns with my taste because I like to think my taste is good taste.  They have good taste and they like things that most and I like so they have good taste.', 'When I say that someone has good taste, it means that in my opinion, the things that person likes is similar to what I like, so, therefore, they have good taste.']"
1,80,1_like_things_choices_good,"['like', 'things', 'choices', 'good', 'means', 'appreciate', 'look', 'art', 'appealing', 'way']","['Generally it means I agree with their aesthetic choices and they choose things that look good.', 'The things they like are aesthetically pleasing. They understand how things go together. And they typically do not offend people with the choices they make.', 'I think that their taste is similar to mine and shows that they like high quality things. I also think that they can see the finer things in life and can appreciate them.']"
