0,1,2,3,4,5
0.6683616419456719,0.03763500328669807,0.04274221890832296,0.08015617297035785,0.07912721272369926,0.0661903403276484
0.18266984871574363,0.05422803633727087,0.0741408724291846,0.10819024717079179,0.20347076006359616,0.11314662876190236
0.08457464503910593,0.13790663783240156,0.11329728687136036,0.1398098821259166,0.1422900556425741,0.07988972314877432
0.07402166158696695,0.23486595044509148,0.07292674691383474,0.11581728293108987,0.09916051506830702,0.07809454710673683
2.7423374403478517e-308,1.118441686673992e-308,1.9711420772711365e-308,2.029458100778443e-308,1.0,2.2317554173565003e-308
0.07387679898724861,0.23956648660715896,0.08501421311825241,0.11571279623359323,0.10670632766219461,0.07572956679048959
1.6873022970887616e-308,9.911437095639203e-309,1.0218271722212784e-308,1.2567461883483103e-308,1.607174234071736e-308,1.0
0.32239962012257906,0.05107140394664933,0.07132958484086552,0.0944778388848429,0.1675131247944836,0.15516137584109876
0.2031012547354943,0.05527722074924659,0.06559361580751924,0.19636790708792937,0.10500962651819538,0.08425378075258605
0.5708880321092106,0.05005234174195192,0.05507160301695238,0.12925767831268634,0.09727327357528463,0.0776282639494852
2.1464144872580126e-308,1.487414142211941e-308,1.3477223200060195e-308,1.0,1.745813612353872e-308,1.172789232801386e-308
0.4560367763542173,0.03924158545574341,0.044978198796993496,0.07428933207043127,0.08443016731402919,0.07517785639240833
1.0,8.78774709630261e-309,1.049508369700099e-308,2.2335798061866397e-308,1.8792207121267633e-308,1.514774884635793e-308
0.6309058495644843,0.031751143687155016,0.036319208157976623,0.06814909005720282,0.06538141155028192,0.06429610860862803
1.133377069234438e-308,9.13840564397978e-309,1.0,1.297037882947691e-308,2.2522526786218093e-308,1.046161260179904e-308
0.04550443876551486,0.5539899684250167,0.047913579856455016,0.07891225337011332,0.052396301415927625,0.044211377029934135
0.06914370036413381,0.515506064040664,0.07989606578027897,0.10476156294490782,0.09242463351678594,0.07466443749795831
0.07171866747467819,0.10977205495791759,0.054106719161434655,0.2749726397971181,0.0660164097383622,0.050933878666925475
0.06591618023563425,0.3248594708642897,0.06545031343890001,0.09508219982459526,0.08284480816870277,0.0702076347283253
2.180985471741944e-308,9.75064224735055e-309,1.080334025792466e-308,1.395519243092455e-308,1.821550817020735e-308,1.0
0.5039054503658321,0.05200902655611478,0.06804741953146744,0.10277079411528374,0.14782662345743855,0.11589031115551034
0.0590510582939728,0.5635336759188974,0.06521059429780031,0.11650587263915732,0.07019020815432277,0.054913954179182795
0.43882733787296846,0.03948467685309866,0.049169373256966464,0.11316063612268094,0.08931743594785588,0.06300624375152425
1.101753848205254e-308,8.646196705980664e-309,1.0,1.207932180613561e-308,2.0952631726477214e-308,1.010206717793087e-308
1.0182340482611657e-308,8.462623889911867e-309,1.0,1.108048457848764e-308,1.8546245435561243e-308,9.597460006402027e-309
8.488537414681314e-309,1.0,8.996153695571504e-309,1.4670261422318876e-308,9.928273690245104e-309,8.4681431163628e-309
0.42297988349443727,0.04750078072485562,0.05627177615071588,0.12570380422303382,0.10596783692112824,0.07338651425477465
0.058796460639882135,0.32322458081403244,0.07494973038356811,0.0931576934087908,0.07940349726847105,0.06494266041346818
2.120813872755745e-308,1.195456673097982e-308,1.9213054531332254e-308,1.860493636293716e-308,1.0,2.206891286029303e-308
1.0,8.52404016186339e-309,1.0529395555373373e-308,1.9346780449236857e-308,1.8376646280414974e-308,1.851144159819623e-308
0.40649683871267894,0.06105448581980926,0.06589064482790881,0.17159928277757133,0.11071694590489371,0.10127906807222396
1.0,8.03915181329871e-309,9.576158732921386e-309,1.6630632870570126e-308,1.8448627371877194e-308,1.618335588166928e-308
0.07473973370052821,0.10795454799189015,0.12309155496395838,0.13628913588273528,0.12277716399942198,0.0683719027376931
