original_index,0,1,2,3,4
0,0.04252992890433152,0.12049345949851484,0.5553810117379829,0.06126434198815499,0.1225097830260407
1,8.653941257931808e-309,2.3060294108598034e-308,1.0,1.4498671249228107e-308,1.849910672528276e-308
2,0.1255059907653334,0.1089810327113837,0.20311933155696585,0.1846597337481217,0.10248035796630547
4,0.8480984905507178,0.032974489432491705,0.0308983439921306,0.053058183855911656,0.034970492168748396
5,0.07781509741691829,0.12412433952793285,0.1229655107306446,0.29938471549434387,0.07225782620951648
6,0.09253803215428134,0.21885860923311423,0.2119885803835668,0.11662085596198689,0.2947065804528285
7,1.236576753317326e-308,1.7613238530680515e-308,1.9449600178932373e-308,1.0,1.0338147043726577e-308
8,1.1365972068306063e-308,1.741043350333882e-308,2.14938557289748e-308,1.1533222113307095e-308,1.0
9,1.3312177957626763e-308,1.6590735800287153e-308,2.0306929660721217e-308,1.0,1.061009712440484e-308
10,1.724305092169984e-308,1.4871600775225665e-308,1.479395937344205e-308,1.0,1.027161785361214e-308
11,0.048096393765442134,0.08804370589216248,0.6908437614089881,0.1173334273523048,0.0556827115811025
12,8.84902117035106e-309,1.6915435551207955e-308,1.0,1.6586640875369016e-308,1.2163857596311422e-308
13,0.06326599919034638,0.23960352385538808,0.10095190969744314,0.13049344866543955,0.08679091989724795
14,9.745388580140946e-309,1.7895526722704893e-308,1.0,1.9906231684732984e-308,1.320206445497095e-308
15,1.2792833828498645e-308,1.5659273228287454e-308,1.623128767822068e-308,1.0,9.545529129139405e-309
16,0.05367697446150363,0.6181074345114164,0.0962634558872541,0.08073820382699082,0.11159438755786155
17,1.2324561617871474e-308,1.8874162488971723e-308,1.7798217754144563e-308,1.0,1.0434077655513564e-308
18,0.5249897855069834,0.07794158574464075,0.06934092172807851,0.1045475997030853,0.08272568794022679
19,0.09373630177894061,0.09244078144766422,0.17536852174795647,0.171034621083726,0.07968663056094495
20,0.07281592225738513,0.1701419520746409,0.12445541047095357,0.10272025325669792,0.14547024174547135
21,0.05988652145935917,0.2617472543748585,0.15196014998589433,0.13293225677212073,0.08314368388444864
22,8.173630954071254e-309,1.0,1.7968796617005864e-308,1.4034924138380934e-308,1.629224811511838e-308
24,1.0,8.616808424410287e-309,8.476528003101106e-309,1.4667482843176275e-308,9.150540076458664e-309
25,0.05267030274522128,0.4497881004925683,0.1729818401974681,0.1051746436685617,0.09567008243723524
26,0.02227579346130102,0.03946800233776557,0.04796592425267967,0.023665097850417077,0.8066696984499862
27,8.39060360700735e-309,1.4921262650052925e-308,1.0,1.5774704932485933e-308,1.0906839473059746e-308
29,0.04874150398271788,0.5780758835424643,0.084884424996925,0.07330519370440094,0.09755756795680948
30,1.0,7.383142179667644e-309,6.383257402796886e-309,1.05192938145503e-308,7.10301683113428e-309
32,0.040463905771576054,0.6235687082279547,0.10476479309303123,0.06775598600176004,0.08236293044548162
34,0.6743586000251415,0.06520056250605955,0.06709758941881548,0.12854306600608265,0.06480018204390088
36,9.408971943999176e-309,1.6848638705761933e-308,1.0,1.7479760480795997e-308,1.2382868176548025e-308
37,8.933105164123706e-309,1.0,2.1750705958288414e-308,1.675552173251482e-308,1.5227710589276053e-308
38,0.4260755107947495,0.09031005532966556,0.09635299085824212,0.16699049427173976,0.0930979046492437
39,0.16009371046775364,0.11025075943072313,0.16041988538506555,0.18711066795654596,0.10687142350802185
40,0.075336668519429,0.17719264627089357,0.3972716021548672,0.1159719160288386,0.15219710015817248
41,8.67020469477497e-309,1.0,1.7206219908596946e-308,1.527243494642524e-308,1.5719209505976804e-308
42,1.0,8.54782164080898e-309,8.357854502872226e-309,1.45432189369662e-308,8.85155253401298e-309
43,8.326316904282233e-309,1.0,1.760300700082273e-308,1.3576493466678127e-308,1.7602456158481167e-308
44,0.06027145145969841,0.14781445652391864,0.18883208352789502,0.2007304709939261,0.07239469763758631
45,0.05759649021820961,0.4017589121847462,0.14818137308891502,0.10090202921023166,0.095636373730668
46,8.94012521254142e-309,2.326839926719406e-308,1.0,1.5041935866020663e-308,1.848900556375955e-308
47,0.5370829140581493,0.09137202585961401,0.08118619410220669,0.13327119937042076,0.09366293368846915
48,0.06543760156720452,0.17255354675552342,0.13076799209194545,0.19156352623539066,0.07603140787736848
49,9.33880561594026e-309,1.6021492696603057e-308,2.006905945575787e-308,9.79346983149486e-309,1.0
50,1.076444942278197e-308,1.726011956056384e-308,2.1389099247194193e-308,1.10808398928201e-308,1.0
52,7.95209636013029e-309,1.9888499695245684e-308,1.0,1.223741929615705e-308,1.974280638834154e-308
53,1.1705057506601735e-308,1.664723896690637e-308,1.991307437577331e-308,1.0,9.879641040700725e-309
54,1.334948558553532e-308,1.556626109401732e-308,1.5224809653305793e-308,1.0,9.50640272392593e-309
55,1.0,8.69632130523769e-309,8.408833529455016e-309,1.6453721938681555e-308,8.48027968319236e-309
56,0.0513423982795272,0.06282154827572886,0.07584529694731594,0.6921352879867727,0.04117413336302175
57,0.05313112467899504,0.06290264851374473,0.0761074023186672,0.7427852740791856,0.039844477667788945
58,0.3597607226507974,0.06379964957377139,0.06282277245020512,0.09166515983602103,0.07796345626138168
59,0.0530066050084896,0.08112038030096466,0.0934585624592444,0.05417307284889429,0.33545597965998625
60,0.09708210085963932,0.13265643053061282,0.11797248137791821,0.5098113575970252,0.0782348873390596
61,0.6986240252012714,0.06904156431311906,0.06261024576767141,0.09737255171020402,0.07235161300773402
62,0.07005433651122867,0.3790544213803937,0.1995608921347301,0.10515827965468244,0.17483921449135126
63,9.734329848626473e-309,1.7922646266664015e-308,1.0,2.122208222634824e-308,1.18454071489426e-308
64,0.2821556559802405,0.07364455656273108,0.06623993000464093,0.15232222853692576,0.0639365206677115
65,0.11261078430241477,0.07248348903946523,0.07063340912652163,0.41441213483726763,0.05314522154304231
66,0.0994577977917447,0.15020545270472946,0.11673869438064606,0.17530900596572213,0.09862218403882247
67,1.0,6.980199048664645e-309,6.1638340629131e-309,9.942155629624227e-309,6.87984171719079e-309
68,0.19718845947719507,0.08249142970631976,0.06306607735958512,0.1010933817572215,0.0700064516001763
69,1.1943828224137336e-308,1.726561375103403e-308,1.9310651004417663e-308,1.0,1.006446160242792e-308
70,0.058667839237503565,0.14367861991905864,0.2457883718952283,0.16209478087791696,0.07103224739556097
71,1.0,9.134130128688e-309,8.901457848192784e-309,1.509063884598505e-308,9.982882994182664e-309
72,0.6199247028641411,0.08459853599087216,0.07611521702782059,0.13661193546930842,0.08274960864785762
73,0.06665316805110237,0.36584564046643153,0.18009243048633983,0.09672670674982031,0.20426473774163215
74,0.06062108941450788,0.4546915398420026,0.17665481048758305,0.09517561981436296,0.15156804076495425
75,0.680978370600131,0.07335909157361913,0.06653599635659417,0.10157974656498779,0.0775467949046677
76,9.6778339466691e-309,1.65010649653771e-308,1.0,1.8025400108638357e-308,1.2345728643113985e-308
78,0.4021252767986281,0.08901617717087423,0.07273386035746157,0.11684283119291045,0.08150116919409187
79,0.14703544072780148,0.11108743269185528,0.15804500549355893,0.20843787621023607,0.10014069162465836
81,8.85486188377426e-309,2.1552307331731673e-308,1.0,1.354300084384817e-308,2.0850910026615005e-308
82,0.11285882222934376,0.09105030071401195,0.10220612785132482,0.1981355288032193,0.07445400205638572
83,1.0,8.95229826945436e-309,8.69204354072075e-309,1.5612684324563424e-308,9.36957110603731e-309
84,0.06199793919698396,0.24465467479075487,0.09927932162434286,0.12324756016692315,0.08638519886473571
85,0.40659292332266644,0.07940579622872726,0.07881850170981824,0.12970589342335098,0.08333763040518755
86,0.11660405376900844,0.10810540815325191,0.18268705209291808,0.19913180638467262,0.09349056600427263
87,0.18008648791159262,0.10754170270482416,0.14690025556274167,0.18211277658741454,0.1081052239815372
88,0.03602799625349559,0.09070665313053346,0.7235947325995881,0.060683172943712324,0.07107396645299142
89,0.07613302002185926,0.08044280822668957,0.06836217582105665,0.06714034324942428,0.098631917401124
90,0.5796072555461494,0.0680442125595254,0.0633402487105936,0.13616794200374022,0.06297400122486112
91,1.29258675541276e-308,1.4611079113760054e-308,1.632664798647378e-308,1.0,9.248357815147346e-309
92,1.0,7.158251600197055e-309,6.446893374901935e-309,9.90828822823065e-309,7.257505291414007e-309
93,0.5704833714521506,0.09223236568785333,0.08058634982347773,0.12335005953333747,0.09044435944033827
94,0.16566606264612943,0.10929437689087312,0.1607999139794328,0.18021713259550448,0.10876896063617042
95,8.000886334336183e-309,1.0,1.657538014870861e-308,1.318439877944916e-308,1.465932947214657e-308
96,0.045051480972825304,0.10019455553624927,0.6864371366958842,0.0853270818976576,0.07441682061598671
97,0.06412696873138272,0.13314536326811047,0.23103133605923565,0.22320052010312916,0.0744412345263825
98,8.86420608831057e-309,1.6184376180313163e-308,1.0,1.7603235912193145e-308,1.1351036304670937e-308
99,0.8254796084661262,0.04078667540028285,0.036290105034688214,0.057390243306490375,0.04005336779241232
100,0.12012616555073775,0.11196634602762853,0.11034885340320548,0.4782776811988405,0.07852874548848753
101,0.7078366279588946,0.07027311231853314,0.06120060039265473,0.08961517172472498,0.0710744876051925
102,0.4419721236086589,0.07915560739205553,0.07036776061820384,0.10596839415539788,0.08400739749581496
103,8.34340772201702e-309,2.073833506937285e-308,1.0,1.305643507656859e-308,1.9772719554271717e-308
104,0.29122370433663064,0.08704160075682182,0.06934733663698127,0.11174500700298175,0.07739566785918836
105,0.04590773455408778,0.6687679652709425,0.11054909107491517,0.08578188883378009,0.07602311506528159
106,0.05318856375563942,0.5559630635718026,0.12146635573320222,0.09571195434252404,0.09570064319057887
107,1.0,8.37988501016152e-309,7.869501615412224e-309,1.3794271268593e-308,8.726865908812905e-309
108,0.47431183483657247,0.05809574075409532,0.05705880749390151,0.08731192923076711,0.06860660707904392
109,0.11508320736785312,0.11322901823720442,0.11730432972236571,0.16795444905143073,0.1003602248943677
110,0.4563055092123599,0.06943178659787198,0.06095029791445009,0.10709630621200482,0.06809355117439485
112,0.0740871075878451,0.0921324107535354,0.29894970327108616,0.1216322401603602,0.08306588378993099
113,0.777924862806889,0.05331781086655692,0.046514384002715646,0.06847988554742679,0.05376305677641163
114,0.049877061790466436,0.5355301300513239,0.08123431203031194,0.0742991815566265,0.09264437118168384
115,0.05811538538561098,0.15233252365298644,0.5752687359144669,0.09078941269139727,0.1234939423555384
116,8.36766118824516e-309,2.2933632702218933e-308,1.0,1.263658280264904e-308,2.1344913512721553e-308
117,1.0,7.12932135492611e-309,6.25563136672931e-309,1.015663974365505e-308,6.931450630366114e-309
119,0.1213913519192566,0.10334201733872371,0.10833244379785577,0.5460093721900843,0.07415186218345533
120,0.03360940931346713,0.0898877336192814,0.7166259910109094,0.058474063402331515,0.06763697036049873
121,0.12035505711487961,0.14050435262185346,0.14207105705343148,0.312796507540235,0.09666015459162708
122,9.141152318953277e-309,1.6048436323936573e-308,1.9572760337623573e-308,9.658546860859385e-309,1.0
123,0.1310949683860207,0.07006879316510646,0.06926326177060547,0.3241851615098207,0.05361451809150989
124,0.0704599825152687,0.1408698517867598,0.08251328437227103,0.10921779868429397,0.08421746472831616
125,0.06614241864865276,0.5147237283030872,0.1229022948881992,0.12829951006332602,0.10708063577866325
126,0.14713869267693186,0.10565914427470052,0.10958556598209387,0.4812640356995136,0.07978999093587576
127,1.0,6.925889936361936e-309,6.161238745177545e-309,9.449390213238916e-309,6.89854033444124e-309
128,0.18060045832974478,0.10763478581419898,0.14813748873205113,0.17899700886053327,0.10937670501158193
129,0.733109631822684,0.06071350982549346,0.05441704749398279,0.09024042977860741,0.06151938107923249
130,0.061372737875089414,0.5482230697682884,0.11582998246057354,0.09082144952818715,0.12177945828223735
131,0.07622094510592818,0.4376724497015557,0.13349873928236133,0.14782495604676826,0.11734018788329155
132,9.3000772033569e-309,1.7621626510571407e-308,1.0,2.005945937837101e-308,1.1703874420753173e-308
133,0.49214000211073805,0.08365143878237143,0.07507409197187556,0.10172138221473612,0.09021573119232196
134,0.06140146980433343,0.09758392505682757,0.3007815300905859,0.16444458520152674,0.06482057800559751
135,0.489686357533103,0.0758178442946032,0.06726927729065782,0.10746986415995591,0.07382774505004282
136,0.224039853710764,0.08555509020477634,0.08882475879968237,0.1751330298822368,0.084007139326048
137,0.6586909224072457,0.06881725327874137,0.062178529100978486,0.09882818540009067,0.06892106413839738
138,8.33127003286722e-309,1.0,1.413355979767501e-308,1.2968090889282117e-308,1.520593199212273e-308
139,9.322690592426163e-309,1.8314877225033887e-308,1.0,1.5812137334569953e-308,1.390721974124282e-308
140,0.8473742437763667,0.03578751979146856,0.03205395902045718,0.04889326087993563,0.03589101653177182
141,8.1402492292122e-309,1.0,1.55900158455874e-308,1.3397698210067884e-308,1.578391373077941e-308
142,0.053836958511073674,0.36192973446615995,0.18535024848488976,0.08512538907687313,0.12293343469324428
143,1.0,7.82093232150299e-309,6.85194313109014e-309,1.108621505125019e-308,7.868303917518076e-309
144,1.0,8.54330266084252e-309,8.683417790010383e-309,1.620105075993444e-308,8.55337350860773e-309
145,0.05577070485068662,0.5227267708400931,0.12324449578375012,0.08453040735234578,0.11811053151296624
146,0.06252178013794073,0.23181593390302138,0.09567436656232592,0.12258476984036201,0.08557329248034055
147,0.17438973468446117,0.08045740734036101,0.06954433135687088,0.08832069297853803,0.08893314025544788
148,0.48320371473501345,0.07824215099194959,0.06927235408456899,0.11864722326646576,0.0791183342327541
149,0.06446178661977396,0.10173140796756171,0.6004068265994233,0.10776833617086752,0.08464588620052622
150,0.02843050745255716,0.05247395615479504,0.8185045576501163,0.053745490944701865,0.037679137352687124
151,1.0,7.03331318940051e-309,6.26633184867748e-309,9.106313814133724e-309,7.22249078658562e-309
152,0.05341630175683892,0.1603034491550937,0.12874635382271954,0.06663159788497622,0.3047137210483816
153,9.749187326404075e-309,1.636615278204761e-308,1.9911642608254953e-308,1.007739743548603e-308,1.0
154,0.14155284302354595,0.11176712953183063,0.15986597068522906,0.21279519165684013,0.09876531185066442
155,0.18897645863794962,0.10596469451880358,0.13960049911172207,0.18360784508163433,0.10659694939800053
156,9.184886650952536e-309,1.0,2.4384080927172866e-308,1.746999695060437e-308,1.7418534621884883e-308
157,0.039474010801832174,0.08545864118553251,0.7453817982029183,0.0676663564199004,0.0620191933898167
158,8.229522107606186e-309,1.9935198064757905e-308,1.0,1.2860391430680335e-308,1.902218436174094e-308
159,0.11080129086135274,0.08238963769236658,0.08199279814170493,0.6222254898075141,0.05807645551808327
160,0.059447861485893184,0.11089422212944375,0.5992444684961112,0.11441967885756725,0.0859216926030755
161,8.752841629985773e-309,2.0114218996802125e-308,1.0,1.542477207019849e-308,1.6107983468689173e-308
163,1.0,8.916234121532113e-309,8.39784716801345e-309,1.605741644206022e-308,8.876867121863735e-309
164,1.0,8.32244581769824e-309,7.853674680228927e-309,1.4506115241716147e-308,8.26747464066474e-309
165,0.7436824042519492,0.05136201521967959,0.05184128021691979,0.10360399865149862,0.04951030165995286
166,0.3262701625124118,0.07687590525691759,0.0752425432259108,0.12050979224476244,0.08194227226516512
168,0.07918915558523376,0.12282358236452645,0.08211597180102055,0.12004443839925216,0.08338388456467193
169,9.197804941825474e-309,1.9115406991154493e-308,2.5721926200175025e-308,1.0621896227960973e-308,1.0
170,0.04840761059508957,0.1299015371814304,0.3499132333598962,0.06838936643838522,0.12854132402434681
171,1.0,7.574036047093044e-309,6.646509938236814e-309,1.1004766282783984e-308,7.526737284120393e-309
172,0.6588449287385317,0.07446891542350388,0.06697038912545979,0.09331862260922816,0.07892643162006055
173,8.393137922106675e-309,1.531442645378085e-308,1.0,1.640435140682251e-308,1.1150572214053965e-308
174,0.19054781305953725,0.10016495546458073,0.12498962991401456,0.18592899328545118,0.09838749468054003
176,0.06412828698474168,0.3932102752384818,0.12654174126419246,0.09712801799276961,0.11742002206186931
177,0.0720665114248453,0.09970393900182231,0.21834709767097243,0.19267510415685582,0.07092083727754182
178,0.25215826958514237,0.08589346230461534,0.0966712368575848,0.1543560141482604,0.08872491213758966
179,0.05549917131531029,0.47956553884941194,0.10888568021761072,0.08212470891104963,0.11044460229067843
180,0.0629098263231614,0.4570041114098241,0.1335432668152203,0.09310019549999819,0.13600717413511354
181,0.07458878527072528,0.3858281399365663,0.1589548702954599,0.12674400531344623,0.12513477414302024
182,8.490880713786196e-309,1.0,2.076530723007122e-308,1.4300870147541884e-308,1.7330145482313565e-308
183,0.5477492839517702,0.0818612048431156,0.06984877912773828,0.10206214208964431,0.08088732545676679
184,0.07594758712325496,0.07682310378465237,0.0654254394270678,0.06586220166240458,0.09321562158831473
185,0.060300538958983775,0.30617250984656413,0.12326167564479022,0.1480257172856509,0.08563285550285238
186,0.6210202723178658,0.06644320476511946,0.05961565868092859,0.09557900011952368,0.06533984755077817
187,0.36155672271610156,0.06339541808238675,0.062205232484582214,0.09109234006615081,0.07738537776933294
188,0.08132299481557885,0.3426506790520464,0.17995623545845166,0.20743470845147094,0.10814877783290289
189,0.05509162431167025,0.48207868645204655,0.13223952715646495,0.10033990077158994,0.08852291157622999
190,0.0557953406881581,0.1728010370400309,0.5003870013062451,0.0881124431553649,0.12029045521586978
191,0.04827813124320537,0.6096143181958531,0.1166665050077586,0.08732334350557887,0.09515388003155492
192,0.05501787258127444,0.3303981382218473,0.11268159611528374,0.11159482416387194,0.07903991960506407
193,0.23274616911564142,0.08310770970401381,0.06543362425342363,0.10481571972864125,0.07241932382062194
194,0.8256765533418302,0.040713234305179466,0.03645962841483759,0.056301430094817966,0.040849153843334714
195,0.6745126504447337,0.07725548900260586,0.0668933299551566,0.10726363376535539,0.07407489683214832
196,0.44406492248164164,0.08100497245328486,0.08042640935114154,0.1337508752844437,0.0848580341102327
197,0.07015058537896618,0.13064273109059601,0.10852473630623144,0.2133005840128901,0.07142736396602799
198,0.06707569092263563,0.39619505444727315,0.21209134910897554,0.10744913591859499,0.15203541761047112
199,0.6321573360282792,0.07657164982026765,0.07715667239925132,0.1351895524792981,0.0789247892729038
200,1.0,7.18763756409615e-309,6.30613153937141e-309,9.769700858111827e-309,7.23710560613144e-309
201,0.05474530076902194,0.08572305043488523,0.10301473372018101,0.5290205977705721,0.04962884298502551
202,0.03878304612258496,0.5709081494876866,0.060288160025121745,0.056969702717263634,0.07018670815008532
203,0.06768804006995917,0.4131842717626681,0.19609144787916327,0.11449768652731249,0.11812788654620783
204,1.4465228684126093e-308,1.6355366016915426e-308,1.506579289580372e-308,1.0,1.007231200078271e-308
205,0.174870714054107,0.08008388013472911,0.060608009414383456,0.09672171015607603,0.06691546623682243
206,0.5165105355796376,0.08778138492004303,0.07293968889105419,0.11700907287220706,0.08187673359130328
208,9.324388725232413e-309,1.653694066822434e-308,2.102402784021515e-308,9.95384283042754e-309,1.0
209,9.486551805915184e-309,1.0,2.407531211529302e-308,1.8703216734421646e-308,1.6828626354383053e-308
210,0.5676753674740607,0.08134238532489699,0.06818599328317689,0.10746120798237185,0.07678032247161833
211,0.058237065271076846,0.21418309080813205,0.13507070803977628,0.07614607943296359,0.23952495499783116
212,0.06439419799241582,0.3955434175696609,0.23280472307761227,0.10649769014056923,0.12529761495078354
213,0.07095164085828586,0.15949416602970234,0.08865418477116972,0.11365390185650485,0.08825876296969234
215,0.09328027657735312,0.15362794678750807,0.11458220339328327,0.17280059551670118,0.09522602328613737
217,0.6811342501689691,0.07635375961064586,0.06622357330927713,0.09879211769537148,0.07749629921573647
218,0.6921126235690054,0.07237171568808472,0.06527875837581655,0.09506555179700832,0.07517135057008507
219,0.05176296969935036,0.13464888872490996,0.5889743964999863,0.07958632161186052,0.11467076251609906
220,0.14164902577345448,0.09068929213794191,0.09555978999233526,0.39060727731218514,0.07010069340736055
221,0.09426074520034054,0.1269623546550224,0.12077745940204643,0.11903054454301712,0.11769270690434637
222,0.11186769380649983,0.09229357379773265,0.10813090314348628,0.2157125633335505,0.07402491545068553
223,0.44083506111901666,0.08460443441218275,0.08110984692986896,0.16141473569002462,0.08523069264200583
224,1.0,8.448641026675147e-309,8.73016547038731e-309,1.5687986874291474e-308,8.593519425815123e-309
