Topic,Count,Name,Representation,Representative_Docs
-1,80,-1_taste_good_like_things,"['taste', 'good', 'like', 'things', 'think', 'music', 'people', 'art', 'likes', 'great']","['I think taste depends on each person. Someone who has good taste in music is my sister who will listen to it, regardless of who thinks it is good or not.', 'Myself, and as conceited as it sounds, I truly believe I have good taste compared to most people. I say myself because I really have a an amazingly broad spectrum of things I like compared to most people. Even if there\'s something I dislike, I can find a way to appreciate it, I break down everything into deeper parts and go over it, so I really know what my taste is and why it\'s that way. I can relate to everyone, while being so different from everyone, and I think ""good taste"" features a wide variety of unrelated things you\'d like.', 'My wife is having good taste, she get good clothes for me and for my family. We all are really like her good taste.']"
0,65,0_good_taste_clothes_look,"['good', 'taste', 'clothes', 'look', 'friend', 'think', 'dresses', 'house', 'colors', 'home']","['I think my cousin has good taste. He buys and wears expensive clothes and they look very good on him. It makes him look like a model.', ""I think my friend has really good taste in fashion, I like his sense of style. I could wear what they wear and look good in them as well. I don't have to wear everything they wear, but either way I still think they have good taste."", 'A friend of mine has very good taste in clothes. They wear things that fit their body and style, and they look great.']"
1,57,1_good_taste_person_music,"['good', 'taste', 'person', 'music', 'things', 'think', 'time', 'enjoy', 'like', 'enjoys']","[""Really anyone who puts time into wanting to create something that speaks to and is generally perceived as 'good' by members of a specific audience. Taste is largely subjective, but also dependent upon the audience. So whereas one audience might perceive a MAGA hat as cheap and distasteful, another audience might look at it as extremely tasteful. If we're looking for a specific person here, I would say that Steve Jobs had good taste. He was able to create things that appealed to a lot of people such that they would use them, find them convenient, and pay money for them. I would call that tasteful in addition to successful."", ""I think someone in then know who has been around with experience tends to have good taste. It is always depends a lot on a person character. What someone see as good taste, someone else won't. A person who goes out of their way to impress usually has good taste."", 'I think they have good taste because they think ahead of time and research about products before they buy them. Another person who I think has good taste in music, enjoys similar music to me and dislikes some of the same.']"
2,22,2_taste_friend_good_best,"['taste', 'friend', 'good', 'best', 'things', 'think', 'lot', 'food', 'friends', 'close']","[""I think my best friend has good taste in art and food. They pay close attention to the subtle details that the artists put into their work and can appreciate the level of depth and details that the artist had. Also in food, while fine dining is not in itself good taste, I think my friend can appreciate unique flavor combinations that most people just hate while they haven't tried them first."", 'I think my best friend has good taste because we share the same interests and like the same things.', 'I think majority of my close friends have good taste, but especially my best friend. This is because we like the same things, therefore her taste is very similar to my taste.']"
