Topic,Count,Name,Representation
0,62,0_likes_different_opinion,"['likes', 'different', 'opinion', 'say', 'art', 'dislike', 'interests']"
1,66,1_choices_music_clothing,"['choices', 'music', 'clothing', 'preferences', 'shows', 'food', 'unappealing']"
2,50,2_usually_quality_ugly,"['usually', 'quality', 'ugly', 'poor', 'way', 'likes', 'looks']"
3,46,3_care_really_look,"['care', 'really', 'look', 'colors', 'items', 'gaudy', 'know']"
