original_index,0,1,2,3
0,0.13808401073917095,0.0,0.05205865146447449,0.0
1,0.12293593790121862,0.0,0.0,0.013748971844499162
2,0.11910937051798208,0.0,0.0,0.0
4,0.10939019502823714,0.04621030147317346,0.05566341232212454,0.0
5,0.11104731463780998,0.12084840525670847,0.0,0.009943676991952354
6,0.015160914683215941,0.031035788566982837,0.0,0.062459457826196545
7,0.0,0.3073061432662645,0.0,0.0
8,0.0,0.0293605621907085,0.0,0.0
9,0.06515045658706953,0.03643110077055626,0.0647642097790203,0.13690660154948509
10,0.11025650531062571,0.0028111054478494675,0.0,0.0
11,0.1476512116186752,0.0,0.011677655041287776,0.0
12,0.0,0.14909436150133246,0.14527008134809638,0.0036243230106555785
13,0.0,0.0,0.29501012974194174,0.0
14,0.18571514522318003,0.0,0.05520563752327622,0.0
15,0.1215641580347523,0.0,0.24379087308495756,0.0
16,0.0,0.0,0.0,0.0
17,0.034778201922015264,0.0,0.2802236845517475,0.0
18,0.0,0.0,0.0,0.22240273484419099
19,0.051908897975982526,0.021340875628259287,0.062225400463014856,0.0012228408924302007
20,0.0,0.0,0.0,0.05113407342310418
21,0.021000911930543823,0.05580685353776778,0.10725725677505253,0.011961773457574284
22,0.01771819192916946,0.11602531252798745,0.0,0.0
24,0.0,0.09870309802491564,0.0,0.077207691803081
25,0.13304957195609005,0.0,0.0,0.19472464178123391
26,0.18189365068875124,0.0,0.028642300398380123,0.0
27,0.0,0.2025763306988957,0.0029078459328429644,0.0
29,0.019010894552297857,0.0,0.024947472327118445,0.0
30,0.3585356925681691,0.0,0.0,0.0
32,0.030489790553205366,0.0021075968397832913,0.009386933375239194,0.023346112834452926
34,0.11822412072509471,0.0018637350490646686,0.011278395403121555,0.08290147140925867
36,0.01924213127563758,0.05204706315029471,0.0,0.0
37,0.050191178291995826,0.0,0.018233166102724428,0.02190563124932259
38,0.04303888356663938,0.01635154471862867,0.04876152707630705,0.0
39,0.003561620109569133,0.007677172390926413,0.002732300999159362,0.029530947881553478
40,0.0,0.02714533212658709,0.006403078803260442,0.04132751141169803
41,0.04588951222490405,0.0,0.003525188965863054,0.013151783232846416
42,0.0,0.2511023131489769,0.0,0.1377822915687913
43,0.0,0.0,0.25868059358987927,0.0057530652182525895
44,0.07042539423774781,0.0510214481000038,0.029271753689331007,0.0
45,0.10648356488357986,0.02778254470860289,0.0,0.0
46,0.017117981124409633,0.07598427786752608,0.006020258998236281,0.0
47,0.0908520348168095,0.0,0.010335472148498266,0.0
48,0.0,0.1830121854546763,0.0,0.013931198885445074
49,0.011883857803954656,0.0,0.03085171327655146,0.06757239143429732
50,0.0,0.0,0.4686296893418671,0.0
52,0.0,0.5256652339838775,0.0,0.0
53,0.1326944315727032,0.13126073969907534,0.0,0.0
54,0.07196360823071879,0.05210507288054234,0.02828788812573595,0.08776103474985261
55,0.008106354807591106,0.05923633264906947,0.028266866804743294,0.08582601648834694
56,0.01685191970455737,0.0,0.020798619086288536,0.028225828089765658
57,0.23754097101004595,0.0,0.0,0.027991677913154142
58,0.0009601842668387101,0.0012346178054417523,0.0,0.17864535581729973
59,0.0,0.09068774392652508,0.09767396061708704,0.0
60,0.3216799220337957,0.07021337737933707,0.0,0.0
61,7.706172776324882e-05,0.0017982596163869013,0.0,0.1542559194314158
62,0.0,0.22361567395828733,0.0,0.01452812434074677
63,0.017426150291196457,0.008015678857814042,0.007097372382633014,0.0348416075164422
64,0.12246521832842652,0.00044409608330252026,0.0,0.0005775040415597177
65,0.0,0.0,0.0,0.31300299481511407
66,0.01137058435437279,0.0045618362623169205,0.17283172793921178,0.0
67,0.0,0.0,0.3815237528058859,0.0
68,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.05113407342310418
70,0.0,0.06512709466329172,0.17353178040004363,0.00954843129556775
71,0.0,0.0,0.010139171272655659,0.12368367849225986
72,0.09922039651777854,0.006376277454633851,0.060384747253085166,0.013340504161400188
73,0.08979784119141428,0.00905237449800127,0.01962349884379129,0.0
74,0.0,0.06671129722283846,0.035357432619225394,0.02665799264953129
75,0.0,0.06412943386845281,0.06510855248070449,0.04458914290927912
76,0.08309329288486826,0.0,0.022197170571648887,0.0
78,0.12165141209042016,0.0,0.04876519783555179,0.0
79,0.0,0.392437736889034,0.0,0.0
81,0.19848458830058918,0.0,0.0,0.12927977474686297
82,0.001442619861221801,0.07222751950540132,0.019330018831960945,0.039030048431579534
83,0.13342775261545745,0.0,0.45117437240662694,0.0
84,0.0008985414489738021,0.006394436453407928,0.0,0.020206946784599885
85,0.0,0.0,0.0,0.27041785618077396
86,0.0,0.1665734675690817,0.0,0.0
87,0.09615078755293023,0.0,0.0,0.00014167240650860683
88,0.029224283307426095,0.03435725412463486,0.0,0.1683282737183003
89,0.052801160683594174,0.0,0.010282646052847023,0.23313432044937016
90,0.0,0.011381134432711321,0.021075972172828535,0.12628306225108318
91,0.0,0.0,0.0,0.0
92,0.009035883039104806,0.09290128104547271,0.08131890311368263,0.003600509831117201
93,0.004812882542805084,0.0,0.0,0.10733020113990017
94,0.10926221676613966,0.03904789727308523,0.13640945385559006,0.008584307691258227
95,0.002120989927506992,0.11353641106727394,0.014242447251382016,0.0
96,0.30942545262123633,0.0,0.0,0.0
97,0.0038305579025607107,0.2093960541843972,0.0,0.006732489512311853
98,0.14351186825026174,0.005910083842158998,0.0,0.0
99,0.0,0.03864116238505183,0.018152510062760436,0.03898449341823327
100,0.02313989236721313,0.0,0.09451249392926804,0.04619171058436764
101,0.0,0.15328532011819063,0.0,0.1509327340063407
102,0.0,0.008152765025461455,0.0,0.14178365996052983
103,0.058360458560561004,0.3128811600047126,0.014046244277345332,0.0
104,0.0,0.015606970713883443,0.07739808741360625,0.0
105,0.0,0.024284141393111545,0.024735669015863042,0.08926650967242682
106,0.0,0.05551639650730631,0.19395071996623703,0.0
107,0.0,0.20837407415292802,0.0,0.009110345213131428
108,0.0,0.0,0.0,0.5326545830911431
109,0.038732115380364536,0.04190335526077755,0.0,0.02364739044727156
110,0.03497408227321417,0.04285577349719517,0.0,0.09582408971687023
112,0.0,0.0,0.20670519262870127,0.0
113,0.0,0.023803362036213565,0.10297569326064765,0.06701452664035164
114,0.0,0.0,0.0324604325435124,0.28859562736194516
115,0.0,0.09562284805687148,0.058498465291118476,0.0004066771638520001
116,0.09200519286534305,0.025642849486706573,0.0,0.0
117,0.0,0.18547208477527677,0.059690176385129703,0.0
119,0.024601832680173963,0.0,0.08455172524045888,0.2471964474565706
120,0.03447118306943263,0.06894879595096186,0.015530629100347316,0.017325480727088515
121,0.0,0.25045467708104857,0.0,0.0
122,0.0009091377871272137,0.0,0.04292929779196674,0.1359701182262219
123,0.43041583071630696,0.0,0.0,0.0
124,0.03310674075049821,0.051859589944502744,0.018598072929341694,0.0469508245858146
125,0.10811272047955789,0.0,0.22148610973304542,0.0
126,0.0,0.0,0.03903938739592392,0.06801768801187508
127,0.10445828327721468,0.0,0.0198435981942304,0.0
128,0.20313395994689562,0.0,0.0,0.0
129,0.0,0.008669177448841197,0.0465764702802226,0.1233359131763515
130,0.0,0.34235502426825876,0.0,0.0
131,0.02001534315124341,0.015617973399078467,0.024004975345447984,0.023866941830131105
132,0.05407269725422001,0.16392383503490573,0.0,0.0
133,0.0,0.0,0.32755587848260603,0.09049315017973833
134,0.0,0.0,0.0,0.0
135,0.0,0.05835633271953128,0.0032001132333377164,0.022323700474445478
136,0.029445016242081117,0.0,0.0616826532536411,0.05169785839437226
137,0.0,0.24109614285285452,0.0,0.00975985853449624
138,0.04667097637579948,0.015870936374835398,0.021812688973588897,0.003308449326877792
139,0.0,0.17102973120995835,0.12648712759957628,0.0
140,0.00026359942291795,0.026967916351458357,0.02266661748262606,0.00864655368901593
141,0.2566521040281468,0.0,0.0,0.005261957145737351
142,0.0,0.0,0.43932317375491203,0.0
143,0.1334481181832137,0.0,0.0746169155221098,0.0
144,0.09023510587709446,0.18324803175454799,0.0,0.09679429887409934
145,0.04508526493414066,0.007732322532173702,0.0,0.02165322638618799
146,0.0,0.19937043359151707,0.0,0.0
147,0.07858357923695841,0.016446655002539813,0.21445140353013356,0.0
148,0.0,0.0,0.021468227185605773,0.040592005631948105
149,0.010484763516495552,0.15923990324522766,0.0,0.00510768991199885
150,0.01205848888447724,0.009505239418893342,0.006774844524809588,0.010618955301875425
151,0.09613186016587746,0.0,0.0,0.0
152,0.0,0.15121106616329016,0.0,0.0
153,0.0,0.0,0.0,0.4121974154212978
154,0.04227335397046549,0.016488237913729435,0.0,0.0
155,0.0,0.07260013485025782,0.017209238226512637,0.11307590319867246
156,0.11312970507472082,0.028468295877842643,0.003178362023887775,0.0024171676705298335
157,0.10026768629439631,0.054043530065683326,0.026154997063340544,0.04762663317444312
158,0.0,0.0,0.5195632552860681,0.0
159,0.050544457026844,0.306405421796622,0.00553851959829194,0.0
160,0.14701858738527188,0.007393381290668315,0.0,0.0
161,0.08394121199284094,0.017347004566429423,0.0,0.0
163,0.05415823799933375,0.0,0.4855621696978199,0.0
164,0.002063389582562453,0.048730506250551364,0.004880177212588182,0.03433248152367846
165,0.18121368355036643,0.13981858782383885,0.0,0.0
166,0.04303600168186853,0.1293956520500782,0.0,0.03159758516332524
168,0.03792474257985368,0.0,0.021399494289162695,0.0650720793861129
169,0.11931466725983629,0.0,0.17724807917459665,0.0
170,0.0,0.28218966784308014,0.0,0.0
171,0.0,0.08763692513049365,0.0,0.28815944837738633
172,0.07418759213731053,0.0,0.0,0.21985504405775697
173,0.052107912298866195,0.11667177404803873,0.13449244510649488,0.0
174,0.0,0.1306424772909195,0.0,0.0
176,0.0006957506894028491,0.0,0.05815721416156953,0.0
177,0.035266553609263035,0.0,0.04245944886444485,0.0
178,0.0,0.04168128648720207,0.02568701933622625,0.03055283394036395
179,0.11396207457073823,0.0,0.04430230183149756,0.027928958516150574
180,0.004919029830562219,0.0,0.0,0.0017069914558070268
181,0.0,0.1805620718671781,0.13282730160634548,0.004784988405137157
182,0.0,0.02773303215605371,0.20022496888884458,0.0
183,0.0,0.14063875430760137,0.0,0.0
184,0.04255079580473622,0.0,0.0,0.0
185,0.0706934949547772,0.0,0.0025725225545139498,0.02433110183827415
186,0.0,0.0,0.5218933343453871,0.0
187,0.0,0.0,0.020313587267843297,0.1233656803763828
188,0.03488581506421974,0.036057160823305165,0.3094566116694302,0.0
189,0.022826663701896045,0.0,0.015101949286416408,0.0024027774833742573
190,7.59610060483192e-07,0.008355657173297573,0.2133712736333801,0.029055121434431442
191,0.003232118234555675,0.06692340530181466,0.00257662356640005,0.011273507957425245
192,0.06805391051599677,0.023448265733457315,0.0,0.016774754363958578
193,0.0,0.04704307943247977,0.009101518404534414,0.0
194,0.0,0.0,0.13317509668611255,0.05066465518228465
195,0.0,0.03964617938246873,0.0,0.0
196,0.0,0.023384334124091757,0.060445812121510956,0.0001754701602728406
197,0.0,0.3355157626767215,0.0,0.0
198,0.09045333495155296,0.0820373204628856,0.16985917217056642,0.022798431010637835
199,0.02931407120934583,0.1103113324081577,0.021796754750976272,0.0029722306242969216
200,0.0,0.1479846768024301,0.020705466025826694,0.04042437605811488
201,0.044368922727260195,0.1535312967339765,0.09032770070383825,0.0
202,0.005075779502707603,0.027228735734774284,0.11307600844263134,0.01847854774802952
203,0.014747476423808487,0.04764332487378484,0.031127904000832787,0.019259973770024162
204,0.05639423182592291,0.038485302574887525,0.01621222891330009,0.028232008913818375
205,0.14237352644520035,0.0,0.02910573737192575,0.00032984559266018205
206,0.024423229757966167,0.0,0.04846184678266706,0.008785697793058253
208,0.07435354611063501,0.04040621610172741,0.020306917023897978,0.00018717623327648455
209,0.0,0.06447537755962027,0.18132621033030227,0.0
210,0.0,0.3408441947171999,0.0,0.0
211,0.03292224667524897,0.0,0.0,0.004069225069683776
212,0.0031336188547149853,0.0,0.05039064982926938,0.03229643418112795
213,0.08275277383427421,0.010613850012411353,0.0,0.03979374432948907
215,0.028951605510304436,0.0008158907860473769,0.012566860273374187,0.023813767872132695
217,0.0,0.04868608739017459,0.06329468869347267,0.10618836052628254
218,0.0,0.0,0.0,0.37483828793042767
219,0.0,0.00659867368933188,0.09213578271016398,0.04195866474698069
220,0.0,0.0326520627311516,0.10922907755002936,0.0
221,0.005502850690928558,0.10259472492921919,0.09947140991513893,0.024940508843486524
222,0.0,0.002610918276885374,0.23188538959926724,0.0
223,0.0,0.31641429137756855,0.032370953588867185,0.0
224,0.0,0.03166301384009085,0.00012663409950508818,0.018521097201791785
225,0.011773843653797472,0.0732465932509045,0.010459488171058254,0.010357144015705156
226,0.0,0.01005453200072444,0.0,0.0
227,0.013925710854479939,0.0,0.0,0.0
228,0.0,0.15020074376535786,0.07697913312977216,0.0
229,0.0,0.10432822313722173,0.1762615394697107,0.004489508608339793
230,0.0,0.010741231954607498,0.0,0.19468996069057368
231,0.0011612633616673522,0.0,0.013800176083086032,0.03799941402011911
